customer_key,Recency,Frequency,Monetary,Cluster
98,188.0,3,8099,3
99,104.0,3,89,1
100,211.0,3,8216,3
101,174.0,3,8172,3
102,213.0,3,8262,3
103,50.0,3,103,1
104,236.0,3,8182,3
105,227.0,3,8173,3
106,237.0,3,8096,3
107,227.0,3,8079,3
108,221.0,3,8171,3
109,219.0,3,8124,3
110,218.0,3,8245,3
111,161.0,3,8093,3
112,159.0,3,8137,3
113,148.0,3,8295,3
114,282.0,3,110,1
115,33.0,3,123,1
116,26.0,3,114,1
117,104.0,3,149,1
118,217.0,3,8185,3
119,2.0,3,124,1
120,66.0,2,85,1
121,131.0,3,8242,3
122,85.0,3,58,1
123,159.0,3,43,1
124,3.0,3,150,1
125,224.0,3,8129,3
126,209.0,3,79,1
127,86.0,3,4971,3
128,119.0,2,44,1
129,169.0,2,144,1
130,384.0,2,5873,3
131,50.0,1,37,1
132,5.0,5,166,3
133,294.0,1,2372,1
134,29.0,1,72,1
135,86.0,3,4911,3
136,285.0,1,2335,1
137,390.0,1,2381,1
138,8.0,2,202,1
139,28.0,2,79,1
140,103.0,2,84,1
141,315.0,1,40,1
142,122.0,2,114,1
143,15.0,17,979,2
144,40.0,2,48,1
145,368.0,1,2400,1
146,368.0,1,2310,1
147,135.0,3,113,1
148,104.0,3,8195,3
149,56.0,3,126,1
150,60.0,3,41,1
151,197.0,3,192,1
152,100.0,3,8087,3
153,384.0,1,2295,1
154,305.0,2,110,1
155,383.0,1,2320,1
156,387.0,1,2320,1
157,385.0,1,2390,1
158,139.0,2,41,1
159,374.0,1,2396,1
160,82.0,2,48,1
161,341.0,1,2322,1
162,78.0,2,94,1
163,344.0,1,2330,1
164,176.0,2,46,1
165,176.0,2,145,1
166,237.0,2,103,1
167,53.0,2,88,1
168,61.0,2,3126,3
169,73.0,2,3136,3
170,126.0,2,81,1
171,30.0,2,157,1
172,82.0,3,6716,3
173,17.0,2,129,1
174,35.0,2,103,1
175,187.0,2,48,1
176,86.0,3,6710,3
177,1.0,28,1317,2
178,106.0,2,135,1
179,247.0,2,145,1
180,19.0,2,125,1
181,125.0,2,138,1
182,201.0,2,41,1
183,23.0,2,81,1
184,229.0,2,46,1
185,111.0,2,68,1
186,2.0,27,1616,2
187,21.0,2,41,1
188,175.0,2,108,1
189,7.0,2,81,1
190,357.0,2,5944,3
191,12.0,2,46,1
192,83.0,3,6743,3
193,125.0,2,114,1
194,163.0,2,41,1
195,51.0,2,105,1
196,98.0,2,105,1
197,126.0,2,162,1
198,192.0,2,207,1
199,349.0,2,98,1
200,103.0,2,132,1
201,8.0,27,1461,2
202,141.0,2,181,1
203,129.0,2,74,1
204,48.0,17,800,2
205,79.0,2,77,1
206,112.0,2,37,1
207,243.0,2,77,1
208,102.0,2,77,1
209,133.0,2,134,1
210,6.0,2,37,1
211,144.0,2,70,1
212,21.0,17,792,2
213,11.0,17,824,2
214,141.0,2,77,1
215,70.0,2,162,1
216,44.0,17,1154,2
217,357.0,2,5948,3
218,348.0,2,5953,3
219,24.0,2,39,1
220,4.0,2,39,1
221,46.0,2,50,1
222,103.0,2,46,1
223,61.0,2,208,1
224,22.0,27,1293,2
225,56.0,3,6685,3
226,144.0,2,73,1
227,303.0,2,37,1
228,352.0,2,5910,3
229,11.0,2,77,1
230,3.0,2,81,1
231,50.0,2,54,1
232,77.0,2,64,1
233,76.0,2,39,1
234,234.0,2,179,1
235,131.0,2,76,1
236,23.0,2,138,1
237,22.0,2,114,1
238,64.0,4,10566,3
239,273.0,4,7543,3
240,245.0,4,7511,3
241,260.0,4,7586,3
242,91.0,7,11468,3
243,55.0,7,11067,3
244,233.0,4,7164,3
245,193.0,4,7175,3
246,48.0,4,10580,3
247,39.0,4,10575,3
248,164.0,4,7131,3
249,198.0,1,38,1
250,135.0,4,9890,3
251,175.0,4,7115,3
252,102.0,1,2319,1
253,41.0,3,6685,3
254,56.0,16,695,2
255,45.0,2,204,1
256,303.0,2,114,1
257,104.0,2,81,1
258,45.0,3,6676,3
259,197.0,2,49,1
260,39.0,3,6770,3
261,219.0,2,81,1
262,36.0,3,6650,3
263,6.0,27,1124,2
264,49.0,3,6753,3
265,59.0,2,3182,3
266,390.0,1,2352,1
267,373.0,2,5922,3
268,386.0,2,5943,3
269,73.0,2,98,1
270,140.0,2,42,1
271,386.0,2,5984,3
272,371.0,2,5973,3
273,380.0,2,5975,3
274,250.0,2,273,1
275,338.0,2,5888,3
276,381.0,2,5955,3
277,6.0,27,987,2
278,12.0,27,1434,2
279,390.0,2,5908,3
280,220.0,2,44,1
281,173.0,2,77,1
282,382.0,2,5921,3
283,391.0,2,5999,3
284,153.0,2,44,1
285,271.0,2,55,1
286,94.0,2,128,1
287,373.0,2,5954,3
288,0.0,27,1165,2
289,160.0,2,77,1
290,377.0,2,5905,3
291,366.0,2,5933,3
292,374.0,2,5873,3
293,393.0,2,5910,3
294,319.0,2,85,1
295,25.0,2,42,1
296,384.0,2,6058,3
297,364.0,2,5897,3
298,342.0,2,5948,3
299,341.0,2,5922,3
300,338.0,2,6015,3
301,28.0,27,1499,2
302,109.0,2,131,1
303,360.0,2,5938,3
304,339.0,2,5875,3
305,281.0,2,122,1
306,177.0,2,77,1
307,143.0,2,42,1
308,354.0,2,5964,3
309,13.0,2,94,1
310,23.0,2,42,1
311,35.0,2,77,1
312,137.0,2,77,1
313,240.0,2,42,1
314,63.0,2,44,1
315,56.0,2,47,1
316,42.0,2,42,1
317,381.0,1,2350,1
318,344.0,2,5873,3
319,81.0,2,44,1
320,338.0,2,5930,3
321,162.0,2,72,1
322,245.0,2,37,1
323,252.0,2,44,1
324,363.0,2,6074,3
325,357.0,2,5945,3
326,362.0,2,6044,3
327,342.0,2,5948,3
328,361.0,2,5915,3
329,296.0,2,4718,3
330,352.0,2,5898,3
331,6.0,27,1134,2
332,4.0,27,1327,2
333,387.0,2,5755,3
334,198.0,3,8163,3
335,185.0,3,8154,3
336,389.0,2,5744,3
337,388.0,2,4441,3
338,193.0,3,8162,3
339,394.0,2,5745,3
340,368.0,2,4379,3
341,391.0,2,4413,3
342,193.0,3,8192,3
343,200.0,1,49,1
344,188.0,3,8222,3
345,189.0,3,8119,3
346,393.0,2,4404,3
347,351.0,2,4503,3
348,318.0,1,14,1
349,303.0,1,68,1
350,15.0,1,68,1
351,357.0,1,38,1
352,153.0,3,8068,3
353,272.0,1,14,1
354,173.0,3,8078,3
355,56.0,1,23,1
356,124.0,1,14,1
357,89.0,3,5069,3
358,91.0,3,4943,3
359,75.0,3,5034,3
360,55.0,3,4959,3
361,37.0,3,5025,3
362,65.0,2,115,1
363,126.0,2,77,1
364,41.0,3,5035,3
365,33.0,3,4921,3
366,37.0,3,5024,3
367,166.0,2,77,1
368,64.0,2,86,1
369,58.0,3,5105,3
370,32.0,2,119,1
371,119.0,2,80,1
372,31.0,2,75,1
373,45.0,3,4965,3
374,154.0,1,38,1
375,288.0,1,69,1
376,103.0,1,14,1
377,105.0,1,78,1
378,334.0,1,84,1
379,348.0,2,4436,3
380,336.0,2,4426,3
381,359.0,2,5838,3
382,163.0,3,8161,3
383,346.0,2,4344,3
384,27.0,1,49,1
385,179.0,1,49,1
386,206.0,1,14,1
387,87.0,1,69,1
388,302.0,3,6959,3
389,277.0,3,6987,3
390,72.0,1,69,1
391,82.0,1,49,1
392,94.0,1,34,1
393,305.0,1,29,1
394,196.0,1,14,1
395,179.0,3,8162,3
396,342.0,2,5730,3
397,94.0,1,29,1
398,205.0,1,38,1
399,179.0,3,8114,3
400,290.0,1,14,1
401,193.0,3,6968,3
402,326.0,3,5020,3
403,301.0,3,5059,3
404,245.0,3,5032,3
405,352.0,1,34,1
406,303.0,1,54,1
407,353.0,2,4415,3
408,219.0,1,54,1
409,329.0,1,34,1
410,365.0,2,4444,3
411,358.0,2,4464,3
412,177.0,1,38,1
413,109.0,4,9880,3
414,145.0,4,7190,3
415,135.0,4,7191,3
416,165.0,1,14,1
417,268.0,3,4928,3
418,44.0,7,11248,3
419,42.0,1,40,1
420,215.0,2,231,1
421,60.0,7,11200,3
422,111.0,4,9780,3
423,86.0,4,7075,3
424,100.0,4,9905,3
425,282.0,1,44,1
426,38.0,6,10528,3
427,294.0,1,35,1
428,100.0,4,9918,3
429,98.0,4,9954,3
430,35.0,6,10468,3
431,315.0,1,85,1
432,120.0,4,9913,3
433,34.0,6,9330,3
434,136.0,6,12914,3
435,197.0,2,70,1
436,24.0,1,35,1
437,223.0,2,81,1
438,40.0,1,54,1
439,357.0,1,35,1
440,100.0,6,12488,3
441,307.0,1,78,1
442,20.0,1,44,1
443,121.0,1,35,1
444,119.0,3,8235,3
445,240.0,3,8136,3
446,214.0,3,8098,3
447,221.0,3,8237,3
448,242.0,3,8078,3
449,221.0,3,8132,3
450,218.0,3,8130,3
451,225.0,3,8173,3
452,237.0,3,8250,3
453,230.0,3,8183,3
454,223.0,3,8177,3
455,224.0,3,8089,3
456,242.0,3,8142,3
457,242.0,3,8224,3
458,241.0,3,8211,3
459,10.0,3,97,1
460,224.0,3,8141,3
461,232.0,3,8137,3
462,191.0,3,8089,3
463,187.0,3,8116,3
464,46.0,3,48,1
465,211.0,3,8128,3
466,199.0,3,8158,3
467,160.0,3,90,1
468,26.0,3,56,1
469,160.0,3,6960,3
470,172.0,1,25,1
471,341.0,2,4344,3
472,256.0,1,54,1
473,94.0,3,8165,3
474,240.0,1,63,1
475,124.0,1,49,1
476,280.0,1,69,1
477,88.0,1,54,1
478,125.0,1,35,1
479,284.0,1,54,1
480,249.0,3,4970,3
481,187.0,3,4935,3
482,282.0,3,4978,3
483,140.0,3,8143,3
484,193.0,3,4966,3
485,304.0,3,4985,3
486,138.0,3,7049,3
487,65.0,1,35,1
488,44.0,1,54,1
489,151.0,3,8090,3
490,122.0,3,8127,3
491,299.0,1,54,1
492,143.0,3,8158,3
493,343.0,2,4404,3
494,138.0,3,6959,3
495,120.0,3,6974,3
496,94.0,1,14,1
497,84.0,3,7014,3
498,85.0,1,35,1
499,19.0,16,560,2
500,213.0,2,192,1
501,18.0,16,653,2
502,6.0,16,871,2
503,1.0,16,1025,2
504,51.0,2,61,1
505,270.0,2,44,1
506,35.0,16,845,2
507,6.0,16,748,2
508,8.0,16,651,2
509,259.0,2,77,1
510,183.0,1,196,1
511,33.0,5,257,3
512,321.0,1,35,1
513,31.0,1,2320,1
514,234.0,1,863,1
515,218.0,1,40,1
516,283.0,2,5930,3
517,226.0,2,5915,3
518,158.0,2,101,1
519,78.0,2,82,1
520,17.0,16,756,2
521,9.0,16,822,2
522,82.0,2,44,1
523,361.0,2,5888,3
524,347.0,1,2377,1
525,103.0,2,42,1
526,340.0,2,5935,3
527,359.0,1,2377,1
528,88.0,2,39,1
529,343.0,2,5959,3
530,358.0,2,5944,3
531,29.0,16,572,2
532,354.0,2,5875,3
533,32.0,2,44,1
534,18.0,2,37,1
535,348.0,2,5919,3
536,319.0,2,5919,3
537,313.0,2,5915,3
538,310.0,2,5873,3
539,333.0,2,5895,3
540,309.0,2,5997,3
541,313.0,2,5958,3
542,290.0,2,5973,3
543,262.0,1,34,1
544,38.0,1,54,1
545,153.0,1,89,1
546,199.0,1,54,1
547,322.0,2,4460,3
548,184.0,3,4976,3
549,78.0,3,7068,3
550,47.0,3,7024,3
551,318.0,3,5241,3
552,333.0,1,54,1
553,22.0,1,35,1
554,159.0,1,21,1
555,265.0,1,35,1
556,265.0,1,35,1
557,38.0,1,21,1
558,173.0,1,21,1
559,59.0,1,21,1
560,60.0,1,35,1
561,56.0,1,54,1
562,323.0,2,4344,3
563,216.0,1,85,1
564,207.0,1,54,1
565,316.0,2,4369,3
566,142.0,1,35,1
567,21.0,25,1002,2
568,319.0,1,54,1
569,130.0,3,6789,3
570,69.0,1,35,1
571,320.0,2,4391,3
572,314.0,2,4390,3
573,326.0,2,4450,3
574,185.0,1,35,1
575,319.0,1,35,1
576,134.0,3,6806,3
577,311.0,2,4486,3
578,322.0,2,4344,3
579,322.0,2,4406,3
580,181.0,1,44,1
581,287.0,1,35,1
582,67.0,5,237,3
583,311.0,2,4379,3
584,295.0,2,4381,3
585,134.0,1,9,1
586,18.0,1,50,1
587,92.0,1,9,1
588,294.0,2,4540,3
589,261.0,2,4369,3
590,238.0,1,15,1
591,250.0,2,4384,3
592,250.0,2,5895,3
593,261.0,2,5875,3
594,223.0,2,5908,3
595,164.0,1,89,1
596,29.0,1,35,1
597,119.0,1,50,1
598,23.0,1,35,1
599,310.0,2,4548,3
600,230.0,2,5957,3
601,267.0,1,35,1
602,235.0,2,5932,3
603,202.0,1,35,1
604,112.0,3,6767,3
605,104.0,3,6786,3
606,334.0,2,4344,3
607,214.0,2,5922,3
608,232.0,2,5913,3
609,46.0,1,35,1
610,66.0,3,6872,3
611,88.0,3,6786,3
612,213.0,2,5873,3
613,71.0,3,6795,3
614,279.0,2,4381,3
615,298.0,2,4438,3
616,290.0,3,5205,3
617,288.0,3,5253,3
618,296.0,2,5935,3
619,353.0,1,2370,1
620,57.0,16,633,2
621,185.0,2,44,1
622,90.0,2,123,1
623,227.0,2,133,1
624,277.0,2,5948,3
625,279.0,2,5898,3
626,280.0,2,5913,3
627,296.0,2,5959,3
628,80.0,2,50,1
629,303.0,2,5875,3
630,285.0,2,5930,3
631,276.0,2,5933,3
632,34.0,16,706,2
633,25.0,16,1001,2
634,14.0,2,77,1
635,277.0,2,39,1
636,129.0,2,42,1
637,10.0,2,77,1
638,347.0,2,39,1
639,101.0,2,77,1
640,20.0,2,127,1
641,30.0,5,408,3
642,163.0,5,302,3
643,4.0,5,481,3
644,208.0,2,100,1
645,23.0,2,42,1
646,25.0,2,153,1
647,187.0,2,113,1
648,347.0,1,2366,1
649,148.0,2,89,1
650,280.0,2,91,1
651,42.0,2,129,1
652,102.0,5,226,3
653,41.0,5,310,3
654,108.0,2,179,1
655,279.0,2,5955,3
656,57.0,2,50,1
657,16.0,2,77,1
658,0.0,2,179,1
659,188.0,2,112,1
660,22.0,5,234,3
661,165.0,5,323,3
662,45.0,5,287,3
663,206.0,2,100,1
664,347.0,2,5948,3
665,341.0,2,5948,3
666,348.0,2,5930,3
667,355.0,2,5948,3
668,40.0,2,91,1
669,24.0,2,129,1
670,162.0,2,113,1
671,132.0,2,100,1
672,295.0,2,5970,3
673,132.0,2,113,1
674,331.0,2,192,1
675,163.0,2,96,1
676,353.0,2,5898,3
677,50.0,2,91,1
678,59.0,5,297,3
679,357.0,2,5900,3
680,60.0,2,146,1
681,9.0,2,94,1
682,64.0,2,138,1
683,50.0,2,253,1
684,355.0,2,5897,3
685,47.0,2,94,1
686,46.0,2,111,1
687,279.0,2,129,1
688,221.0,2,98,1
689,348.0,2,5967,3
690,148.0,2,89,1
691,277.0,2,5904,3
692,254.0,2,120,1
693,10.0,2,94,1
694,365.0,1,2295,1
695,122.0,2,129,1
696,162.0,2,129,1
697,274.0,2,5873,3
698,116.0,2,153,1
699,14.0,5,255,3
700,172.0,2,122,1
701,233.0,2,138,1
702,269.0,2,129,1
703,75.0,2,96,1
704,73.0,2,100,1
705,195.0,2,94,1
706,246.0,2,5940,3
707,116.0,2,89,1
708,249.0,2,6025,3
709,245.0,2,5908,3
710,106.0,5,325,3
711,47.0,2,98,1
712,2.0,27,1104,2
713,91.0,5,128,3
714,68.0,2,192,1
715,259.0,2,94,1
716,29.0,2,144,1
717,15.0,2,96,1
718,31.0,2,193,1
719,313.0,2,100,1
720,130.0,5,286,3
721,188.0,2,118,1
722,103.0,2,105,1
723,80.0,2,153,1
724,25.0,5,193,3
725,45.0,5,210,3
726,271.0,2,124,1
727,52.0,2,224,1
728,269.0,2,5962,3
729,83.0,2,110,1
730,17.0,2,160,1
731,20.0,2,134,1
732,177.0,2,121,1
733,166.0,2,174,1
734,21.0,2,195,1
735,205.0,2,136,1
736,37.0,2,110,1
737,55.0,2,166,1
738,195.0,2,77,1
739,32.0,5,330,3
740,287.0,2,4758,3
741,10.0,5,384,3
742,342.0,2,6079,3
743,251.0,2,5915,3
744,257.0,2,5898,3
745,154.0,2,72,1
746,269.0,2,5948,3
747,80.0,2,77,1
748,107.0,2,116,1
749,88.0,5,132,3
750,28.0,3,48,1
751,119.0,3,8148,3
752,195.0,3,8215,3
753,53.0,3,138,1
754,105.0,3,48,1
755,182.0,3,8163,3
756,164.0,3,46,1
757,95.0,3,8078,3
758,62.0,3,57,1
759,65.0,3,57,1
760,203.0,3,8054,3
761,70.0,3,275,1
762,183.0,3,8149,3
763,206.0,3,8228,3
764,77.0,3,76,1
765,205.0,3,8129,3
766,186.0,3,8143,3
767,202.0,3,8280,3
768,200.0,3,8319,3
769,198.0,3,8139,3
770,132.0,5,478,3
771,99.0,2,77,1
772,188.0,2,94,1
773,258.0,2,5913,3
774,273.0,2,5984,3
775,229.0,2,5900,3
776,239.0,2,5913,3
777,239.0,2,6079,3
778,220.0,2,5915,3
779,213.0,2,5873,3
780,219.0,2,5873,3
781,224.0,2,5973,3
782,50.0,2,134,1
783,134.0,2,151,1
784,262.0,2,110,1
785,42.0,5,272,3
786,150.0,2,75,1
787,5.0,2,127,1
788,84.0,2,110,1
789,161.0,2,255,1
790,275.0,2,72,1
791,251.0,2,147,1
792,58.0,2,120,1
793,212.0,2,120,1
794,352.0,2,102,1
795,0.0,2,77,1
796,64.0,2,75,1
797,243.0,2,5995,3
798,213.0,2,5972,3
799,231.0,2,5953,3
800,233.0,2,5921,3
801,168.0,2,77,1
802,28.0,2,87,1
803,58.0,5,214,3
804,66.0,2,230,1
805,169.0,2,134,1
806,84.0,2,129,1
807,117.0,2,96,1
808,138.0,2,153,1
809,95.0,5,609,3
810,232.0,2,5929,3
811,218.0,2,5973,3
812,225.0,2,5898,3
813,224.0,2,5900,3
814,214.0,2,5953,3
815,142.0,2,101,1
816,338.0,2,5948,3
817,342.0,2,5933,3
818,350.0,2,5898,3
819,363.0,2,5954,3
820,12.0,2,96,1
821,53.0,5,232,3
822,147.0,2,151,1
823,155.0,2,87,1
824,5.0,5,263,3
825,19.0,5,240,3
826,350.0,2,5900,3
827,347.0,2,5898,3
828,50.0,5,511,3
829,284.0,2,94,1
830,221.0,2,131,1
831,363.0,2,5930,3
832,352.0,2,5933,3
833,141.0,2,125,1
834,61.0,5,240,3
835,349.0,2,5908,3
836,255.0,2,4772,3
837,281.0,2,70,1
838,342.0,2,5923,3
839,153.0,2,135,1
840,230.0,2,5955,3
841,269.0,2,87,1
842,83.0,5,307,3
843,55.0,2,99,1
844,326.0,2,116,1
845,17.0,2,125,1
846,50.0,4,197,1
847,202.0,2,85,1
848,74.0,2,125,1
849,53.0,2,92,1
850,17.0,2,258,1
851,239.0,2,149,1
852,54.0,2,85,1
853,148.0,2,125,1
854,222.0,2,90,1
855,227.0,2,5985,3
856,139.0,2,90,1
857,28.0,2,134,1
858,54.0,2,125,1
859,200.0,2,85,1
860,58.0,2,72,1
861,77.0,2,70,1
862,37.0,5,287,3
863,97.0,2,209,1
864,146.0,2,48,1
865,236.0,2,48,1
866,114.0,2,115,1
867,276.0,2,43,1
868,97.0,2,83,1
869,42.0,5,248,3
870,12.0,5,268,3
871,11.0,2,242,1
872,244.0,2,70,1
873,217.0,2,5948,3
874,236.0,2,5923,3
875,10.0,2,72,1
876,1.0,5,292,3
877,126.0,2,83,1
878,31.0,2,43,1
879,47.0,2,83,1
880,87.0,2,107,1
881,86.0,2,50,1
882,42.0,2,149,1
883,200.0,2,48,1
884,75.0,2,77,1
885,30.0,2,110,1
886,358.0,2,5900,3
887,225.0,2,5897,3
888,215.0,2,83,1
889,316.0,1,2377,1
890,330.0,2,50,1
891,207.0,2,130,1
892,212.0,2,110,1
893,190.0,3,8119,3
894,189.0,3,8123,3
895,206.0,3,8223,3
896,187.0,3,8149,3
897,201.0,3,8118,3
898,106.0,3,8203,3
899,189.0,3,8179,3
900,204.0,3,8189,3
901,201.0,3,8257,3
902,80.0,3,8248,3
903,30.0,3,62,1
904,199.0,3,8108,3
905,211.0,3,8214,3
906,206.0,3,8156,3
907,200.0,3,8151,3
908,192.0,3,8135,3
909,158.0,3,8079,3
910,180.0,3,8105,3
911,178.0,3,8113,3
912,38.0,3,62,1
913,67.0,3,8095,3
914,33.0,3,41,1
915,158.0,3,8166,3
916,157.0,3,8143,3
917,160.0,3,8179,3
918,162.0,3,8121,3
919,64.0,3,8205,3
920,38.0,3,8172,3
921,48.0,3,8156,3
922,66.0,3,63,1
923,97.0,5,276,3
924,19.0,2,43,1
925,223.0,2,5897,3
926,223.0,2,5968,3
927,224.0,2,48,1
928,0.0,2,52,1
929,46.0,2,48,1
930,42.0,3,4965,3
931,43.0,3,5035,3
932,86.0,2,234,1
933,187.0,2,136,1
934,215.0,2,5933,3
935,232.0,2,5994,3
936,236.0,1,35,1
937,298.0,1,42,1
938,210.0,2,5888,3
939,19.0,2,43,1
940,223.0,2,5977,3
941,34.0,2,70,1
942,87.0,2,109,1
943,40.0,3,4827,3
944,46.0,3,4734,3
945,39.0,3,4776,3
946,122.0,2,5910,3
947,37.0,3,4697,3
948,32.0,3,4747,3
949,114.0,2,82,1
950,126.0,2,70,1
951,82.0,2,110,1
952,77.0,3,63,1
953,174.0,3,8169,3
954,134.0,2,65,1
955,224.0,2,5910,3
956,214.0,2,5953,3
957,241.0,2,5873,3
958,20.0,2,91,1
959,79.0,2,160,1
960,79.0,2,139,1
961,184.0,2,75,1
962,112.0,2,72,1
963,165.0,2,103,1
964,158.0,3,8068,3
965,172.0,3,8173,3
966,58.0,3,118,1
967,41.0,3,55,1
968,174.0,3,8153,3
969,164.0,3,8079,3
970,165.0,3,8173,3
971,129.0,2,110,1
972,64.0,2,134,1
973,37.0,2,65,1
974,324.0,2,89,1
975,54.0,2,113,1
976,106.0,2,209,1
977,156.0,3,8087,3
978,166.0,3,8213,3
979,76.0,2,75,1
980,265.0,2,4814,3
981,61.0,2,108,1
982,0.0,2,120,1
983,118.0,2,105,1
984,341.0,2,5873,3
985,267.0,2,4730,3
986,23.0,2,90,1
987,154.0,3,8245,3
988,79.0,3,278,1
989,175.0,3,8078,3
990,175.0,3,8140,3
991,159.0,3,8164,3
992,40.0,3,8128,3
993,48.0,3,8123,3
994,36.0,3,8131,3
995,158.0,3,8169,3
996,49.0,3,8249,3
997,179.0,3,7059,3
998,167.0,3,7030,3
999,153.0,3,6962,3
1000,179.0,3,7043,3
1001,166.0,3,8183,3
1002,167.0,3,8113,3
1003,178.0,3,8145,3
1004,171.0,3,8256,3
1005,173.0,3,8114,3
1006,164.0,3,6985,3
1007,183.0,3,144,1
1008,129.0,3,7024,3
1009,8.0,3,79,1
1010,168.0,3,8195,3
1011,175.0,3,8203,3
1012,44.0,3,4736,3
1013,169.0,3,74,1
1014,325.0,2,3950,3
1015,244.0,2,3950,3
1016,281.0,1,62,1
1017,241.0,2,5913,3
1018,314.0,1,2340,1
1019,126.0,2,6012,3
1020,125.0,1,75,1
1021,108.0,1,804,1
1022,260.0,2,4044,3
1023,148.0,2,136,1
1024,117.0,2,5933,3
1025,164.0,2,84,1
1026,229.0,2,5910,3
1027,241.0,2,5977,3
1028,186.0,2,5913,3
1029,124.0,1,40,1
1030,179.0,1,55,1
1031,186.0,2,5970,3
1032,83.0,1,769,1
1033,342.0,1,615,1
1034,199.0,2,5949,3
1035,8.0,3,74,1
1036,259.0,3,81,1
1037,112.0,3,69,1
1038,141.0,3,7107,3
1039,2.0,3,91,1
1040,175.0,3,8212,3
1041,22.0,2,51,1
1042,211.0,2,5998,3
1043,200.0,2,5975,3
1044,46.0,2,104,1
1045,58.0,2,106,1
1046,87.0,2,66,1
1047,285.0,2,44,1
1048,103.0,2,44,1
1049,63.0,2,134,1
1050,80.0,2,171,1
1051,356.0,2,6024,3
1052,242.0,2,90,1
1053,353.0,2,5935,3
1054,363.0,2,5973,3
1055,42.0,5,403,3
1056,12.0,4,104,1
1057,25.0,4,254,1
1058,205.0,2,87,1
1059,359.0,2,5936,3
1060,340.0,2,5930,3
1061,217.0,2,4812,3
1062,121.0,4,140,1
1063,15.0,2,87,1
1064,76.0,2,85,1
1065,61.0,2,122,1
1066,302.0,2,92,1
1067,132.0,2,85,1
1068,186.0,2,134,1
1069,63.0,2,94,1
1070,335.0,2,5897,3
1071,33.0,2,85,1
1072,345.0,2,5973,3
1073,322.0,2,5951,3
1074,278.0,2,134,1
1075,94.0,4,261,1
1076,187.0,2,5933,3
1077,319.0,2,5873,3
1078,10.0,4,174,1
1079,208.0,2,5975,3
1080,210.0,2,6008,3
1081,303.0,1,2355,1
1082,265.0,1,2367,1
1083,309.0,2,5913,3
1084,332.0,2,5993,3
1085,193.0,2,5985,3
1086,157.0,2,108,1
1087,259.0,1,2295,1
1088,13.0,2,92,1
1089,3.0,2,171,1
1090,223.0,2,4710,3
1091,265.0,1,2351,1
1092,148.0,2,84,1
1093,239.0,2,51,1
1094,6.0,2,46,1
1095,187.0,2,5962,3
1096,178.0,2,57,1
1097,192.0,2,5900,3
1098,9.0,4,238,1
1099,48.0,2,84,1
1100,84.0,2,44,1
1101,133.0,2,130,1
1102,236.0,2,92,1
1103,334.0,2,5903,3
1104,313.0,2,5997,3
1105,326.0,2,5908,3
1106,330.0,2,5993,3
1107,108.0,4,169,1
1108,183.0,4,222,1
