customer_key,Recency,Frequency,Monetary
119,2.0,3,124
120,66.0,2,85
121,131.0,3,8242
122,85.0,3,58
123,159.0,3,43
124,3.0,3,150
125,224.0,3,8129
126,209.0,3,79
127,86.0,3,4971
128,119.0,2,44
129,169.0,2,144
130,384.0,2,5873
131,50.0,1,37
132,5.0,5,166
133,294.0,1,2372
134,29.0,1,72
135,86.0,3,4911
136,285.0,1,2335
137,390.0,1,2381
138,8.0,2,202
139,28.0,2,79
140,103.0,2,84
141,315.0,1,40
142,122.0,2,114
143,15.0,17,979
144,40.0,2,48
145,368.0,1,2400
146,368.0,1,2310
147,135.0,3,113
148,104.0,3,8195
149,56.0,3,126
150,60.0,3,41
151,197.0,3,192
152,100.0,3,8087
153,384.0,1,2295
154,305.0,2,110
155,383.0,1,2320
156,387.0,1,2320
157,385.0,1,2390
158,139.0,2,41
159,374.0,1,2396
160,82.0,2,48
161,341.0,1,2322
162,78.0,2,94
163,344.0,1,2330
164,176.0,2,46
165,176.0,2,145
166,237.0,2,103
167,53.0,2,88
168,61.0,2,3126
169,73.0,2,3136
170,126.0,2,81
171,30.0,2,157
172,82.0,3,6716
173,17.0,2,129
174,35.0,2,103
175,187.0,2,48
176,86.0,3,6710
177,1.0,28,1317
178,106.0,2,135
179,247.0,2,145
180,19.0,2,125
181,125.0,2,138
182,201.0,2,41
183,23.0,2,81
184,229.0,2,46
185,111.0,2,68
186,2.0,27,1616
187,21.0,2,41
188,175.0,2,108
189,7.0,2,81
190,357.0,2,5944
191,12.0,2,46
192,83.0,3,6743
193,125.0,2,114
194,163.0,2,41
195,51.0,2,105
196,98.0,2,105
197,126.0,2,162
198,192.0,2,207
199,349.0,2,98
200,103.0,2,132
201,8.0,27,1461
202,141.0,2,181
203,129.0,2,74
204,48.0,17,800
205,79.0,2,77
206,112.0,2,37
207,243.0,2,77
208,102.0,2,77
209,133.0,2,134
210,6.0,2,37
211,144.0,2,70
212,21.0,17,792
213,11.0,17,824
214,141.0,2,77
215,70.0,2,162
216,44.0,17,1154
217,357.0,2,5948
218,348.0,2,5953
219,24.0,2,39
220,4.0,2,39
221,46.0,2,50
222,103.0,2,46
223,61.0,2,208
224,22.0,27,1293
225,56.0,3,6685
226,144.0,2,73
227,303.0,2,37
228,352.0,2,5910
229,11.0,2,77
230,3.0,2,81
231,50.0,2,54
232,77.0,2,64
233,76.0,2,39
234,234.0,2,179
235,131.0,2,76
236,23.0,2,138
237,22.0,2,114
238,64.0,4,10566
239,273.0,4,7543
240,245.0,4,7511
241,260.0,4,7586
242,91.0,7,11468
243,55.0,7,11067
244,233.0,4,7164
245,193.0,4,7175
246,48.0,4,10580
247,39.0,4,10575
248,164.0,4,7131
249,198.0,1,38
250,135.0,4,9890
251,175.0,4,7115
252,102.0,1,2319
253,41.0,3,6685
254,56.0,16,695
255,45.0,2,204
256,303.0,2,114
257,104.0,2,81
258,45.0,3,6676
259,197.0,2,49
260,39.0,3,6770
261,219.0,2,81
262,36.0,3,6650
263,6.0,27,1124
264,49.0,3,6753
265,59.0,2,3182
266,390.0,1,2352
267,373.0,2,5922
268,386.0,2,5943
269,73.0,2,98
270,140.0,2,42
271,386.0,2,5984
272,371.0,2,5973
273,380.0,2,5975
274,250.0,2,273
275,338.0,2,5888
276,381.0,2,5955
277,6.0,27,987
278,12.0,27,1434
279,390.0,2,5908
280,220.0,2,44
281,173.0,2,77
282,382.0,2,5921
283,391.0,2,5999
284,153.0,2,44
285,271.0,2,55
286,94.0,2,128
287,373.0,2,5954
288,0.0,27,1165
289,160.0,2,77
290,377.0,2,5905
291,366.0,2,5933
292,374.0,2,5873
293,393.0,2,5910
294,319.0,2,85
295,25.0,2,42
296,384.0,2,6058
297,364.0,2,5897
298,342.0,2,5948
299,341.0,2,5922
300,338.0,2,6015
301,28.0,27,1499
302,109.0,2,131
303,360.0,2,5938
304,339.0,2,5875
305,281.0,2,122
306,177.0,2,77
307,143.0,2,42
308,354.0,2,5964
309,13.0,2,94
310,23.0,2,42
311,35.0,2,77
312,137.0,2,77
313,240.0,2,42
314,63.0,2,44
315,56.0,2,47
316,42.0,2,42
317,381.0,1,2350
318,344.0,2,5873
319,81.0,2,44
320,338.0,2,5930
321,162.0,2,72
322,245.0,2,37
323,252.0,2,44
324,363.0,2,6074
325,357.0,2,5945
326,362.0,2,6044
327,342.0,2,5948
328,361.0,2,5915
329,296.0,2,4718
330,352.0,2,5898
331,6.0,27,1134
332,4.0,27,1327
333,387.0,2,5755
334,198.0,3,8163
335,185.0,3,8154
336,389.0,2,5744
337,388.0,2,4441
338,193.0,3,8162
339,394.0,2,5745
340,368.0,2,4379
341,391.0,2,4413
342,193.0,3,8192
343,200.0,1,49
344,188.0,3,8222
345,189.0,3,8119
346,393.0,2,4404
347,351.0,2,4503
348,318.0,1,14
349,303.0,1,68
350,15.0,1,68
351,357.0,1,38
352,153.0,3,8068
353,272.0,1,14
354,173.0,3,8078
355,56.0,1,23
356,124.0,1,14
357,89.0,3,5069
358,91.0,3,4943
359,75.0,3,5034
360,55.0,3,4959
361,37.0,3,5025
362,65.0,2,115
363,126.0,2,77
364,41.0,3,5035
365,33.0,3,4921
366,37.0,3,5024
367,166.0,2,77
368,64.0,2,86
369,58.0,3,5105
370,32.0,2,119
371,119.0,2,80
372,31.0,2,75
373,45.0,3,4965
374,154.0,1,38
375,288.0,1,69
376,103.0,1,14
377,105.0,1,78
378,334.0,1,84
379,348.0,2,4436
380,336.0,2,4426
381,359.0,2,5838
382,163.0,3,8161
383,346.0,2,4344
384,27.0,1,49
385,179.0,1,49
386,206.0,1,14
387,87.0,1,69
388,302.0,3,6959
389,277.0,3,6987
390,72.0,1,69
391,82.0,1,49
392,94.0,1,34
393,305.0,1,29
394,196.0,1,14
395,179.0,3,8162
396,342.0,2,5730
397,94.0,1,29
398,205.0,1,38
399,179.0,3,8114
400,290.0,1,14
401,193.0,3,6968
402,326.0,3,5020
403,301.0,3,5059
404,245.0,3,5032
405,352.0,1,34
406,303.0,1,54
407,353.0,2,4415
408,219.0,1,54
409,329.0,1,34
410,365.0,2,4444
411,358.0,2,4464
412,177.0,1,38
413,109.0,4,9880
414,145.0,4,7190
415,135.0,4,7191
416,165.0,1,14
417,268.0,3,4928
418,44.0,7,11248
419,42.0,1,40
420,215.0,2,231
421,60.0,7,11200
422,111.0,4,9780
423,86.0,4,7075
424,100.0,4,9905
425,282.0,1,44
426,38.0,6,10528
427,294.0,1,35
428,100.0,4,9918
429,98.0,4,9954
430,35.0,6,10468
431,315.0,1,85
432,120.0,4,9913
433,34.0,6,9330
434,136.0,6,12914
435,197.0,2,70
436,24.0,1,35
437,223.0,2,81
438,40.0,1,54
439,357.0,1,35
440,100.0,6,12488
441,307.0,1,78
442,20.0,1,44
443,121.0,1,35
444,119.0,3,8235
445,240.0,3,8136
446,214.0,3,8098
447,221.0,3,8237
448,242.0,3,8078
449,221.0,3,8132
450,218.0,3,8130
451,225.0,3,8173
452,237.0,3,8250
453,230.0,3,8183
454,223.0,3,8177
455,224.0,3,8089
456,242.0,3,8142
457,242.0,3,8224
458,241.0,3,8211
459,10.0,3,97
460,224.0,3,8141
461,232.0,3,8137
462,191.0,3,8089
463,187.0,3,8116
464,46.0,3,48
465,211.0,3,8128
466,199.0,3,8158
467,160.0,3,90
468,26.0,3,56
469,160.0,3,6960
470,172.0,1,25
471,341.0,2,4344
472,256.0,1,54
473,94.0,3,8165
474,240.0,1,63
475,124.0,1,49
476,280.0,1,69
477,88.0,1,54
478,125.0,1,35
479,284.0,1,54
480,249.0,3,4970
481,187.0,3,4935
482,282.0,3,4978
483,140.0,3,8143
484,193.0,3,4966
485,304.0,3,4985
486,138.0,3,7049
487,65.0,1,35
488,44.0,1,54
489,151.0,3,8090
490,122.0,3,8127
491,299.0,1,54
492,143.0,3,8158
493,343.0,2,4404
494,138.0,3,6959
495,120.0,3,6974
496,94.0,1,14
497,84.0,3,7014
498,85.0,1,35
499,19.0,16,560
500,213.0,2,192
501,18.0,16,653
502,6.0,16,871
503,1.0,16,1025
504,51.0,2,61
505,270.0,2,44
506,35.0,16,845
507,6.0,16,748
508,8.0,16,651
509,259.0,2,77
510,183.0,1,196
511,33.0,5,257
512,321.0,1,35
513,31.0,1,2320
514,234.0,1,863
515,218.0,1,40
516,283.0,2,5930
517,226.0,2,5915
518,158.0,2,101
519,78.0,2,82
520,17.0,16,756
521,9.0,16,822
522,82.0,2,44
523,361.0,2,5888
524,347.0,1,2377
525,103.0,2,42
526,340.0,2,5935
527,359.0,1,2377
528,88.0,2,39
529,343.0,2,5959
530,358.0,2,5944
531,29.0,16,572
532,354.0,2,5875
533,32.0,2,44
534,18.0,2,37
535,348.0,2,5919
536,319.0,2,5919
537,313.0,2,5915
538,310.0,2,5873
539,333.0,2,5895
540,309.0,2,5997
541,313.0,2,5958
542,290.0,2,5973
543,262.0,1,34
544,38.0,1,54
545,153.0,1,89
546,199.0,1,54
547,322.0,2,4460
548,184.0,3,4976
549,78.0,3,7068
550,47.0,3,7024
551,318.0,3,5241
552,333.0,1,54
553,22.0,1,35
554,159.0,1,21
555,265.0,1,35
556,265.0,1,35
557,38.0,1,21
558,173.0,1,21
559,59.0,1,21
560,60.0,1,35
561,56.0,1,54
562,323.0,2,4344
563,216.0,1,85
564,207.0,1,54
565,316.0,2,4369
566,142.0,1,35
567,21.0,25,1002
568,319.0,1,54
569,130.0,3,6789
570,69.0,1,35
571,320.0,2,4391
572,314.0,2,4390
573,326.0,2,4450
574,185.0,1,35
575,319.0,1,35
576,134.0,3,6806
577,311.0,2,4486
578,322.0,2,4344
579,322.0,2,4406
580,181.0,1,44
581,287.0,1,35
582,67.0,5,237
583,311.0,2,4379
584,295.0,2,4381
585,134.0,1,9
586,18.0,1,50
587,92.0,1,9
588,294.0,2,4540
589,261.0,2,4369
590,238.0,1,15
591,250.0,2,4384
592,250.0,2,5895
593,261.0,2,5875
594,223.0,2,5908
595,164.0,1,89
596,29.0,1,35
597,119.0,1,50
598,23.0,1,35
599,310.0,2,4548
600,230.0,2,5957
601,267.0,1,35
602,235.0,2,5932
603,202.0,1,35
604,112.0,3,6767
605,104.0,3,6786
606,334.0,2,4344
607,214.0,2,5922
608,232.0,2,5913
609,46.0,1,35
610,66.0,3,6872
611,88.0,3,6786
612,213.0,2,5873
613,71.0,3,6795
614,279.0,2,4381
615,298.0,2,4438
616,290.0,3,5205
617,288.0,3,5253
618,296.0,2,5935
619,353.0,1,2370
620,57.0,16,633
621,185.0,2,44
622,90.0,2,123
623,227.0,2,133
624,277.0,2,5948
625,279.0,2,5898
626,280.0,2,5913
627,296.0,2,5959
628,80.0,2,50
629,303.0,2,5875
630,285.0,2,5930
631,276.0,2,5933
632,34.0,16,706
633,25.0,16,1001
634,14.0,2,77
635,277.0,2,39
636,129.0,2,42
637,10.0,2,77
638,347.0,2,39
639,101.0,2,77
640,20.0,2,127
641,30.0,5,408
642,163.0,5,302
643,4.0,5,481
644,208.0,2,100
645,23.0,2,42
646,25.0,2,153
647,187.0,2,113
648,347.0,1,2366
649,148.0,2,89
650,280.0,2,91
651,42.0,2,129
652,102.0,5,226
653,41.0,5,310
654,108.0,2,179
655,279.0,2,5955
656,57.0,2,50
657,16.0,2,77
658,0.0,2,179
659,188.0,2,112
660,22.0,5,234
661,165.0,5,323
662,45.0,5,287
663,206.0,2,100
664,347.0,2,5948
665,341.0,2,5948
666,348.0,2,5930
667,355.0,2,5948
668,40.0,2,91
669,24.0,2,129
670,162.0,2,113
671,132.0,2,100
672,295.0,2,5970
673,132.0,2,113
674,331.0,2,192
675,163.0,2,96
676,353.0,2,5898
677,50.0,2,91
678,59.0,5,297
679,357.0,2,5900
680,60.0,2,146
681,9.0,2,94
682,64.0,2,138
683,50.0,2,253
684,355.0,2,5897
685,47.0,2,94
686,46.0,2,111
687,279.0,2,129
688,221.0,2,98
689,348.0,2,5967
690,148.0,2,89
691,277.0,2,5904
692,254.0,2,120
693,10.0,2,94
694,365.0,1,2295
695,122.0,2,129
696,162.0,2,129
697,274.0,2,5873
698,116.0,2,153
699,14.0,5,255
700,172.0,2,122
701,233.0,2,138
702,269.0,2,129
703,75.0,2,96
704,73.0,2,100
705,195.0,2,94
706,246.0,2,5940
707,116.0,2,89
708,249.0,2,6025
709,245.0,2,5908
710,106.0,5,325
711,47.0,2,98
712,2.0,27,1104
713,91.0,5,128
714,68.0,2,192
715,259.0,2,94
716,29.0,2,144
717,15.0,2,96
718,31.0,2,193
719,313.0,2,100
720,130.0,5,286
721,188.0,2,118
722,103.0,2,105
723,80.0,2,153
724,25.0,5,193
725,45.0,5,210
726,271.0,2,124
727,52.0,2,224
728,269.0,2,5962
729,83.0,2,110
730,17.0,2,160
731,20.0,2,134
732,177.0,2,121
733,166.0,2,174
734,21.0,2,195
735,205.0,2,136
736,37.0,2,110
737,55.0,2,166
738,195.0,2,77
739,32.0,5,330
740,287.0,2,4758
741,10.0,5,384
742,342.0,2,6079
743,251.0,2,5915
744,257.0,2,5898
745,154.0,2,72
746,269.0,2,5948
747,80.0,2,77
748,107.0,2,116
749,88.0,5,132
750,28.0,3,48
751,119.0,3,8148
752,195.0,3,8215
753,53.0,3,138
754,105.0,3,48
755,182.0,3,8163
756,164.0,3,46
757,95.0,3,8078
758,62.0,3,57
759,65.0,3,57
760,203.0,3,8054
761,70.0,3,275
762,183.0,3,8149
763,206.0,3,8228
764,77.0,3,76
765,205.0,3,8129
766,186.0,3,8143
767,202.0,3,8280
768,200.0,3,8319
769,198.0,3,8139
770,132.0,5,478
771,99.0,2,77
772,188.0,2,94
773,258.0,2,5913
774,273.0,2,5984
775,229.0,2,5900
776,239.0,2,5913
777,239.0,2,6079
778,220.0,2,5915
779,213.0,2,5873
780,219.0,2,5873
781,224.0,2,5973
782,50.0,2,134
783,134.0,2,151
784,262.0,2,110
785,42.0,5,272
786,150.0,2,75
787,5.0,2,127
788,84.0,2,110
789,161.0,2,255
790,275.0,2,72
791,251.0,2,147
792,58.0,2,120
793,212.0,2,120
794,352.0,2,102
795,0.0,2,77
796,64.0,2,75
797,243.0,2,5995
798,213.0,2,5972
799,231.0,2,5953
800,233.0,2,5921
801,168.0,2,77
802,28.0,2,87
803,58.0,5,214
804,66.0,2,230
805,169.0,2,134
806,84.0,2,129
807,117.0,2,96
808,138.0,2,153
809,95.0,5,609
810,232.0,2,5929
811,218.0,2,5973
812,225.0,2,5898
813,224.0,2,5900
814,214.0,2,5953
815,142.0,2,101
816,338.0,2,5948
817,342.0,2,5933
818,350.0,2,5898
819,363.0,2,5954
820,12.0,2,96
821,53.0,5,232
822,147.0,2,151
823,155.0,2,87
824,5.0,5,263
825,19.0,5,240
826,350.0,2,5900
827,347.0,2,5898
828,50.0,5,511
829,284.0,2,94
830,221.0,2,131
831,363.0,2,5930
832,352.0,2,5933
833,141.0,2,125
834,61.0,5,240
835,349.0,2,5908
836,255.0,2,4772
837,281.0,2,70
838,342.0,2,5923
839,153.0,2,135
840,230.0,2,5955
841,269.0,2,87
842,83.0,5,307
843,55.0,2,99
844,326.0,2,116
845,17.0,2,125
846,50.0,4,197
847,202.0,2,85
848,74.0,2,125
849,53.0,2,92
850,17.0,2,258
851,239.0,2,149
852,54.0,2,85
853,148.0,2,125
854,222.0,2,90
855,227.0,2,5985
856,139.0,2,90
857,28.0,2,134
858,54.0,2,125
859,200.0,2,85
860,58.0,2,72
861,77.0,2,70
862,37.0,5,287
863,97.0,2,209
864,146.0,2,48
865,236.0,2,48
866,114.0,2,115
867,276.0,2,43
868,97.0,2,83
869,42.0,5,248
870,12.0,5,268
871,11.0,2,242
872,244.0,2,70
873,217.0,2,5948
874,236.0,2,5923
875,10.0,2,72
876,1.0,5,292
877,126.0,2,83
878,31.0,2,43
879,47.0,2,83
880,87.0,2,107
881,86.0,2,50
882,42.0,2,149
883,200.0,2,48
884,75.0,2,77
885,30.0,2,110
886,358.0,2,5900
887,225.0,2,5897
888,215.0,2,83
889,316.0,1,2377
890,330.0,2,50
891,207.0,2,130
892,212.0,2,110
893,190.0,3,8119
894,189.0,3,8123
895,206.0,3,8223
896,187.0,3,8149
897,201.0,3,8118
898,106.0,3,8203
899,189.0,3,8179
900,204.0,3,8189
901,201.0,3,8257
902,80.0,3,8248
903,30.0,3,62
904,199.0,3,8108
905,211.0,3,8214
906,206.0,3,8156
907,200.0,3,8151
908,192.0,3,8135
909,158.0,3,8079
910,180.0,3,8105
911,178.0,3,8113
912,38.0,3,62
913,67.0,3,8095
914,33.0,3,41
915,158.0,3,8166
916,157.0,3,8143
917,160.0,3,8179
918,162.0,3,8121
919,64.0,3,8205
920,38.0,3,8172
921,48.0,3,8156
922,66.0,3,63
923,97.0,5,276
924,19.0,2,43
925,223.0,2,5897
926,223.0,2,5968
927,224.0,2,48
928,0.0,2,52
929,46.0,2,48
930,42.0,3,4965
931,43.0,3,5035
932,86.0,2,234
933,187.0,2,136
934,215.0,2,5933
935,232.0,2,5994
936,236.0,1,35
937,298.0,1,42
938,210.0,2,5888
939,19.0,2,43
940,223.0,2,5977
941,34.0,2,70
942,87.0,2,109
943,40.0,3,4827
944,46.0,3,4734
945,39.0,3,4776
946,122.0,2,5910
947,37.0,3,4697
948,32.0,3,4747
949,114.0,2,82
950,126.0,2,70
951,82.0,2,110
952,77.0,3,63
953,174.0,3,8169
954,134.0,2,65
955,224.0,2,5910
956,214.0,2,5953
957,241.0,2,5873
958,20.0,2,91
959,79.0,2,160
960,79.0,2,139
961,184.0,2,75
962,112.0,2,72
963,165.0,2,103
964,158.0,3,8068
965,172.0,3,8173
966,58.0,3,118
967,41.0,3,55
968,174.0,3,8153
969,164.0,3,8079
970,165.0,3,8173
971,129.0,2,110
972,64.0,2,134
973,37.0,2,65
974,324.0,2,89
975,54.0,2,113
976,106.0,2,209
977,156.0,3,8087
978,166.0,3,8213
979,76.0,2,75
980,265.0,2,4814
981,61.0,2,108
982,0.0,2,120
983,118.0,2,105
984,341.0,2,5873
985,267.0,2,4730
986,23.0,2,90
987,154.0,3,8245
988,79.0,3,278
989,175.0,3,8078
990,175.0,3,8140
991,159.0,3,8164
992,40.0,3,8128
993,48.0,3,8123
994,36.0,3,8131
995,158.0,3,8169
996,49.0,3,8249
997,179.0,3,7059
998,167.0,3,7030
999,153.0,3,6962
1000,179.0,3,7043
1001,166.0,3,8183
1002,167.0,3,8113
1003,178.0,3,8145
1004,171.0,3,8256
1005,173.0,3,8114
1006,164.0,3,6985
1007,183.0,3,144
1008,129.0,3,7024
1009,8.0,3,79
1010,168.0,3,8195
1011,175.0,3,8203
1012,44.0,3,4736
1013,169.0,3,74
1014,325.0,2,3950
1015,244.0,2,3950
1016,281.0,1,62
1017,241.0,2,5913
1018,314.0,1,2340
1019,126.0,2,6012
1020,125.0,1,75
1021,108.0,1,804
1022,260.0,2,4044
1023,148.0,2,136
1024,117.0,2,5933
1025,164.0,2,84
1026,229.0,2,5910
1027,241.0,2,5977
1028,186.0,2,5913
1029,124.0,1,40
1030,179.0,1,55
1031,186.0,2,5970
1032,83.0,1,769
1033,342.0,1,615
1034,199.0,2,5949
1035,8.0,3,74
1036,259.0,3,81
1037,112.0,3,69
1038,141.0,3,7107
1039,2.0,3,91
1040,175.0,3,8212
1041,22.0,2,51
1042,211.0,2,5998
1043,200.0,2,5975
1044,46.0,2,104
1045,58.0,2,106
1046,87.0,2,66
1047,285.0,2,44
1048,103.0,2,44
1049,63.0,2,134
1050,80.0,2,171
1051,356.0,2,6024
1052,242.0,2,90
1053,353.0,2,5935
1054,363.0,2,5973
1055,42.0,5,403
1056,12.0,4,104
1057,25.0,4,254
1058,205.0,2,87
1059,359.0,2,5936
1060,340.0,2,5930
1061,217.0,2,4812
1062,121.0,4,140
1063,15.0,2,87
1064,76.0,2,85
1065,61.0,2,122
1066,302.0,2,92
1067,132.0,2,85
1068,186.0,2,134
1069,63.0,2,94
1070,335.0,2,5897
1071,33.0,2,85
1072,345.0,2,5973
1073,322.0,2,5951
1074,278.0,2,134
1075,94.0,4,261
1076,187.0,2,5933
1077,319.0,2,5873
1078,10.0,4,174
1079,208.0,2,5975
1080,210.0,2,6008
1081,303.0,1,2355
1082,265.0,1,2367
1083,309.0,2,5913
1084,332.0,2,5993
1085,193.0,2,5985
1086,157.0,2,108
1087,259.0,1,2295
1088,13.0,2,92
1089,3.0,2,171
1090,223.0,2,4710
1091,265.0,1,2351
1092,148.0,2,84
1093,239.0,2,51
1094,6.0,2,46
1095,187.0,2,5962
1096,178.0,2,57
1097,192.0,2,5900
1098,9.0,4,238
1099,48.0,2,84
1100,84.0,2,44
1101,133.0,2,130
1102,236.0,2,92
1103,334.0,2,5903
1104,313.0,2,5997
1105,326.0,2,5908
1106,330.0,2,5993
1107,108.0,4,169
1108,183.0,4,222
1109,204.0,2,5946
1110,199.0,2,5930
1111,185.0,2,5888
1112,127.0,2,195
1113,316.0,2,5930
1114,241.0,2,4737
1115,214.0,2,4719
1116,221.0,2,90
1117,312.0,2,5933
1118,41.0,2,160
1119,184.0,2,6004
1120,84.0,2,162
1121,183.0,2,5908
1122,183.0,2,5946
1123,231.0,2,4814
1124,69.0,4,5837
1125,113.0,5,13195
1126,72.0,4,8595
1127,166.0,2,81
1128,79.0,1,35
1129,55.0,4,8681
1130,34.0,4,8557
1131,75.0,4,7987
1132,110.0,5,13265
1133,103.0,5,13294
1134,58.0,4,5830
1135,111.0,2,97
1136,211.0,2,85
1137,5.0,4,181
1138,262.0,2,92
1139,150.0,2,120
1140,39.0,2,103
1141,91.0,4,118
1142,324.0,2,5979
1143,332.0,2,5945
1144,315.0,2,5993
1145,84.0,2,50
1146,28.0,2,133
1147,81.0,2,227
1148,76.0,4,271
1149,29.0,2,83
1150,20.0,2,83
1151,146.0,2,43
1152,328.0,2,5895
1153,327.0,2,5937
1154,330.0,2,5938
1155,189.0,2,4798
1156,308.0,2,5930
1157,330.0,2,5920
1158,60.0,2,43
1159,47.0,4,202
1160,13.0,4,259
1161,326.0,2,5945
1162,64.0,2,207
1163,309.0,2,5913
1164,330.0,2,5944
1165,333.0,2,5908
1166,207.0,4,280
1167,78.0,4,162
1168,321.0,2,5975
1169,158.0,2,73
1170,316.0,2,5948
1171,326.0,2,5908
1172,327.0,2,5984
1173,316.0,2,5930
1174,329.0,2,5929
1175,312.0,2,5873
1176,69.0,2,155
1177,14.0,2,162
1178,194.0,2,4811
1179,332.0,2,5933
1180,204.0,2,5913
1181,208.0,2,5930
1182,322.0,2,5959
1183,98.0,4,87
1184,203.0,4,229
1185,316.0,2,5875
1186,288.0,2,50
1187,326.0,2,5913
1188,323.0,2,5908
1189,324.0,2,5933
1190,317.0,2,5950
1191,330.0,2,5890
1192,122.0,2,246
1193,37.0,2,160
1194,205.0,2,4833
1195,264.0,2,83
1196,185.0,2,124
1197,15.0,4,160
1198,266.0,2,48
1199,203.0,2,5969
1200,76.0,2,195
1201,325.0,2,5935
1202,172.0,2,58
1203,116.0,4,171
1204,23.0,4,200
1205,220.0,2,120
1206,29.0,2,51
1207,326.0,2,5908
1208,292.0,2,5875
1209,287.0,2,5954
1210,282.0,2,5908
1211,78.0,3,6825
1212,197.0,2,5908
1213,205.0,2,5898
1214,302.0,2,4419
1215,42.0,3,6803
1216,38.0,3,6890
1217,42.0,3,6955
1218,205.0,2,5873
1219,278.0,2,4472
1220,185.0,2,5967
1221,183.0,2,5950
1222,192.0,2,5968
1223,52.0,3,6909
1224,173.0,1,35
1225,74.0,1,85
1226,258.0,2,4381
1227,271.0,2,4368
1228,274.0,1,44
1229,252.0,2,4401
1230,250.0,2,4415
1231,228.0,2,4401
1232,220.0,2,4354
1233,232.0,2,4376
1234,11.0,1,35
1235,277.0,1,35
1236,206.0,2,62
1237,199.0,1,35
1238,240.0,2,4470
1239,203.0,1,35
1240,42.0,3,6901
1241,239.0,2,3965
1242,222.0,2,3989
1243,231.0,2,3949
1244,223.0,2,3915
1245,256.0,2,115
1246,229.0,2,3967
1247,226.0,2,3947
1248,270.0,2,77
1249,202.0,2,3940
1250,99.0,2,115
1251,202.0,2,3965
1252,193.0,2,3925
1253,187.0,2,3939
1254,196.0,2,4067
1255,183.0,2,5968
1256,192.0,2,5883
1257,165.0,2,5953
1258,54.0,1,50
1259,119.0,1,50
1260,223.0,2,86
1261,183.0,2,241
1262,160.0,2,5973
1263,303.0,2,119
1264,32.0,3,6829
1265,248.0,3,5663
1266,175.0,2,5964
1267,232.0,2,4401
1268,165.0,2,5873
1269,287.0,1,50
1270,215.0,1,44
1271,202.0,2,4455
1272,255.0,3,5683
1273,295.0,3,5139
1274,180.0,1,50
1275,113.0,1,35
1276,182.0,2,4435
1277,196.0,2,4416
1278,248.0,3,5666
1279,220.0,1,50
1280,168.0,2,5974
1281,168.0,2,5923
1282,300.0,3,5169
1283,296.0,3,5111
1284,262.0,3,5583
1285,252.0,3,5625
1286,167.0,2,5968
1287,285.0,3,5255
1288,247.0,3,5720
1289,19.0,2,148
1290,251.0,3,5646
1291,177.0,2,5873
1292,69.0,4,8067
1293,82.0,3,5027
1294,109.0,2,86
1295,165.0,2,75
1296,124.0,4,174
1297,95.0,5,13164
1298,80.0,4,8022
1299,48.0,4,8052
