customer_key,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
71,216.0,3,8165,2,5,5,2.055
72,58.0,3,110,5,5,3,5.053
73,227.0,3,8194,2,5,5,2.055
74,160.0,3,192,3,5,3,3.053
75,246.0,3,94,2,5,3,2.053
76,218.0,3,8068,2,5,5,2.055
77,221.0,3,8159,2,5,5,2.055
78,230.0,3,8169,2,5,5,2.055
79,0.0,17,912,5,5,3,5.053
80,27.0,3,58,5,5,2,5.052
81,219.0,3,8204,2,5,5,2.055
82,290.0,2,104,1,4,3,1.043
83,83.0,2,3110,4,4,4,4.044
84,81.0,2,3137,4,4,4,4.044
85,68.0,2,3078,5,4,4,5.044
86,20.0,2,129,5,4,3,5.043
87,38.0,2,153,5,4,3,5.043
88,172.0,2,200,3,4,3,3.043
89,77.0,2,3176,4,4,4,4.044
90,71.0,2,3188,5,4,4,5.044
91,68.0,3,6703,5,5,5,5.055
92,20.0,28,1186,5,5,4,5.054
93,221.0,3,8110,2,5,5,2.055
94,234.0,3,8180,2,5,5,2.055
95,17.0,3,236,5,5,3,5.053
96,217.0,3,8158,2,5,5,2.055
97,182.0,3,8063,3,5,5,3.055
98,188.0,3,8099,3,5,5,3.055
99,104.0,3,89,4,5,2,4.052
100,211.0,3,8216,2,5,5,2.055
101,174.0,3,8172,3,5,5,3.055
102,213.0,3,8262,2,5,5,2.055
103,50.0,3,103,5,5,3,5.053
104,236.0,3,8182,2,5,5,2.055
105,227.0,3,8173,2,5,5,2.055
106,237.0,3,8096,2,5,5,2.055
107,227.0,3,8079,2,5,5,2.055
108,221.0,3,8171,2,5,5,2.055
109,219.0,3,8124,2,5,5,2.055
110,218.0,3,8245,2,5,5,2.055
111,161.0,3,8093,3,5,5,3.055
112,159.0,3,8137,3,5,5,3.055
113,148.0,3,8295,3,5,5,3.055
114,282.0,3,110,2,5,3,2.053
115,33.0,3,123,5,5,3,5.053
116,26.0,3,114,5,5,3,5.053
117,104.0,3,149,4,5,3,4.053
118,217.0,3,8185,2,5,5,2.055
119,2.0,3,124,5,5,3,5.053
120,66.0,2,85,5,4,2,5.042
121,131.0,3,8242,4,5,5,4.055
122,85.0,3,58,4,5,2,4.052
123,159.0,3,43,3,5,2,3.052
124,3.0,3,150,5,5,3,5.053
125,224.0,3,8129,2,5,5,2.055
126,209.0,3,79,2,5,2,2.052
127,86.0,3,4971,4,5,5,4.055
128,119.0,2,44,4,4,2,4.042
129,169.0,2,144,3,4,3,3.043
130,384.0,2,5873,1,4,5,1.045
131,50.0,1,37,5,1,1,5.011
132,5.0,5,166,5,5,3,5.053
133,294.0,1,2372,1,1,4,1.014
134,29.0,1,72,5,1,2,5.012
135,86.0,3,4911,4,5,5,4.055
136,285.0,1,2335,2,1,4,2.014
137,390.0,1,2381,1,1,4,1.014
138,8.0,2,202,5,4,3,5.043
139,28.0,2,79,5,4,2,5.042
140,103.0,2,84,4,4,2,4.042
141,315.0,1,40,1,1,1,1.011
142,122.0,2,114,4,4,3,4.043
143,15.0,17,979,5,5,3,5.053
144,40.0,2,48,5,4,2,5.042
145,368.0,1,2400,1,1,4,1.014
146,368.0,1,2310,1,1,4,1.014
147,135.0,3,113,3,5,3,3.053
148,104.0,3,8195,4,5,5,4.055
149,56.0,3,126,5,5,3,5.053
150,60.0,3,41,5,5,2,5.052
151,197.0,3,192,3,5,3,3.053
152,100.0,3,8087,4,5,5,4.055
153,384.0,1,2295,1,1,4,1.014
154,305.0,2,110,1,4,3,1.043
155,383.0,1,2320,1,1,4,1.014
156,387.0,1,2320,1,1,4,1.014
157,385.0,1,2390,1,1,4,1.014
158,139.0,2,41,3,4,2,3.042
159,374.0,1,2396,1,1,4,1.014
160,82.0,2,48,4,4,2,4.042
161,341.0,1,2322,1,1,4,1.014
162,78.0,2,94,4,4,3,4.043
163,344.0,1,2330,1,1,4,1.014
164,176.0,2,46,3,4,2,3.042
165,176.0,2,145,3,4,3,3.043
166,237.0,2,103,2,4,3,2.043
167,53.0,2,88,5,4,2,5.042
168,61.0,2,3126,5,4,4,5.044
169,73.0,2,3136,4,4,4,4.044
170,126.0,2,81,4,4,2,4.042
171,30.0,2,157,5,4,3,5.043
172,82.0,3,6716,4,5,5,4.055
173,17.0,2,129,5,4,3,5.043
174,35.0,2,103,5,4,3,5.043
175,187.0,2,48,3,4,2,3.042
176,86.0,3,6710,4,5,5,4.055
177,1.0,28,1317,5,5,4,5.054
178,106.0,2,135,4,4,3,4.043
179,247.0,2,145,2,4,3,2.043
180,19.0,2,125,5,4,3,5.043
181,125.0,2,138,4,4,3,4.043
182,201.0,2,41,3,4,2,3.042
183,23.0,2,81,5,4,2,5.042
184,229.0,2,46,2,4,2,2.042
185,111.0,2,68,4,4,2,4.042
186,2.0,27,1616,5,5,4,5.054
187,21.0,2,41,5,4,2,5.042
188,175.0,2,108,3,4,3,3.043
189,7.0,2,81,5,4,2,5.042
190,357.0,2,5944,1,4,5,1.045
191,12.0,2,46,5,4,2,5.042
192,83.0,3,6743,4,5,5,4.055
193,125.0,2,114,4,4,3,4.043
194,163.0,2,41,3,4,2,3.042
195,51.0,2,105,5,4,3,5.043
196,98.0,2,105,4,4,3,4.043
197,126.0,2,162,4,4,3,4.043
198,192.0,2,207,3,4,3,3.043
199,349.0,2,98,1,4,3,1.043
200,103.0,2,132,4,4,3,4.043
201,8.0,27,1461,5,5,4,5.054
202,141.0,2,181,3,4,3,3.043
203,129.0,2,74,4,4,2,4.042
204,48.0,17,800,5,5,3,5.053
205,79.0,2,77,4,4,2,4.042
206,112.0,2,37,4,4,1,4.041
207,243.0,2,77,2,4,2,2.042
208,102.0,2,77,4,4,2,4.042
209,133.0,2,134,3,4,3,3.043
210,6.0,2,37,5,4,1,5.041
211,144.0,2,70,3,4,2,3.042
212,21.0,17,792,5,5,3,5.053
213,11.0,17,824,5,5,3,5.053
214,141.0,2,77,3,4,2,3.042
215,70.0,2,162,5,4,3,5.043
216,44.0,17,1154,5,5,3,5.053
217,357.0,2,5948,1,4,5,1.045
218,348.0,2,5953,1,4,5,1.045
219,24.0,2,39,5,4,1,5.041
220,4.0,2,39,5,4,1,5.041
221,46.0,2,50,5,4,2,5.042
222,103.0,2,46,4,4,2,4.042
223,61.0,2,208,5,4,3,5.043
224,22.0,27,1293,5,5,4,5.054
225,56.0,3,6685,5,5,5,5.055
226,144.0,2,73,3,4,2,3.042
227,303.0,2,37,1,4,1,1.041
228,352.0,2,5910,1,4,5,1.045
229,11.0,2,77,5,4,2,5.042
230,3.0,2,81,5,4,2,5.042
231,50.0,2,54,5,4,2,5.042
232,77.0,2,64,4,4,2,4.042
233,76.0,2,39,4,4,1,4.041
234,234.0,2,179,2,4,3,2.043
235,131.0,2,76,4,4,2,4.042
236,23.0,2,138,5,4,3,5.043
237,22.0,2,114,5,4,3,5.043
238,64.0,4,10566,5,5,5,5.055
239,273.0,4,7543,2,5,5,2.055
240,245.0,4,7511,2,5,5,2.055
241,260.0,4,7586,2,5,5,2.055
242,91.0,7,11468,4,5,5,4.055
243,55.0,7,11067,5,5,5,5.055
244,233.0,4,7164,2,5,5,2.055
245,193.0,4,7175,3,5,5,3.055
246,48.0,4,10580,5,5,5,5.055
247,39.0,4,10575,5,5,5,5.055
248,164.0,4,7131,3,5,5,3.055
249,198.0,1,38,3,1,1,3.011
250,135.0,4,9890,3,5,5,3.055
251,175.0,4,7115,3,5,5,3.055
252,102.0,1,2319,4,1,4,4.014
253,41.0,3,6685,5,5,5,5.055
254,56.0,16,695,5,5,3,5.053
255,45.0,2,204,5,4,3,5.043
256,303.0,2,114,1,4,3,1.043
257,104.0,2,81,4,4,2,4.042
258,45.0,3,6676,5,5,5,5.055
259,197.0,2,49,3,4,2,3.042
260,39.0,3,6770,5,5,5,5.055
261,219.0,2,81,2,4,2,2.042
262,36.0,3,6650,5,5,5,5.055
263,6.0,27,1124,5,5,3,5.053
264,49.0,3,6753,5,5,5,5.055
265,59.0,2,3182,5,4,4,5.044
266,390.0,1,2352,1,1,4,1.014
267,373.0,2,5922,1,4,5,1.045
268,386.0,2,5943,1,4,5,1.045
269,73.0,2,98,4,4,3,4.043
270,140.0,2,42,3,4,2,3.042
271,386.0,2,5984,1,4,5,1.045
272,371.0,2,5973,1,4,5,1.045
273,380.0,2,5975,1,4,5,1.045
274,250.0,2,273,2,4,3,2.043
275,338.0,2,5888,1,4,5,1.045
276,381.0,2,5955,1,4,5,1.045
277,6.0,27,987,5,5,3,5.053
278,12.0,27,1434,5,5,4,5.054
279,390.0,2,5908,1,4,5,1.045
280,220.0,2,44,2,4,2,2.042
281,173.0,2,77,3,4,2,3.042
282,382.0,2,5921,1,4,5,1.045
283,391.0,2,5999,1,4,5,1.045
284,153.0,2,44,3,4,2,3.042
285,271.0,2,55,2,4,2,2.042
286,94.0,2,128,4,4,3,4.043
287,373.0,2,5954,1,4,5,1.045
288,0.0,27,1165,5,5,4,5.054
289,160.0,2,77,3,4,2,3.042
290,377.0,2,5905,1,4,5,1.045
291,366.0,2,5933,1,4,5,1.045
292,374.0,2,5873,1,4,5,1.045
293,393.0,2,5910,1,4,5,1.045
294,319.0,2,85,1,4,2,1.042
295,25.0,2,42,5,4,2,5.042
296,384.0,2,6058,1,4,5,1.045
297,364.0,2,5897,1,4,5,1.045
298,342.0,2,5948,1,4,5,1.045
299,341.0,2,5922,1,4,5,1.045
300,338.0,2,6015,1,4,5,1.045
301,28.0,27,1499,5,5,4,5.054
302,109.0,2,131,4,4,3,4.043
303,360.0,2,5938,1,4,5,1.045
304,339.0,2,5875,1,4,5,1.045
305,281.0,2,122,2,4,3,2.043
306,177.0,2,77,3,4,2,3.042
307,143.0,2,42,3,4,2,3.042
308,354.0,2,5964,1,4,5,1.045
309,13.0,2,94,5,4,3,5.043
310,23.0,2,42,5,4,2,5.042
311,35.0,2,77,5,4,2,5.042
312,137.0,2,77,3,4,2,3.042
313,240.0,2,42,2,4,2,2.042
314,63.0,2,44,5,4,2,5.042
315,56.0,2,47,5,4,2,5.042
316,42.0,2,42,5,4,2,5.042
317,381.0,1,2350,1,1,4,1.014
318,344.0,2,5873,1,4,5,1.045
319,81.0,2,44,4,4,2,4.042
320,338.0,2,5930,1,4,5,1.045
321,162.0,2,72,3,4,2,3.042
322,245.0,2,37,2,4,1,2.041
323,252.0,2,44,2,4,2,2.042
324,363.0,2,6074,1,4,5,1.045
325,357.0,2,5945,1,4,5,1.045
326,362.0,2,6044,1,4,5,1.045
327,342.0,2,5948,1,4,5,1.045
328,361.0,2,5915,1,4,5,1.045
329,296.0,2,4718,1,4,5,1.045
330,352.0,2,5898,1,4,5,1.045
331,6.0,27,1134,5,5,3,5.053
332,4.0,27,1327,5,5,4,5.054
333,387.0,2,5755,1,4,5,1.045
334,198.0,3,8163,3,5,5,3.055
335,185.0,3,8154,3,5,5,3.055
336,389.0,2,5744,1,4,5,1.045
337,388.0,2,4441,1,4,5,1.045
338,193.0,3,8162,3,5,5,3.055
339,394.0,2,5745,1,4,5,1.045
340,368.0,2,4379,1,4,5,1.045
341,391.0,2,4413,1,4,5,1.045
342,193.0,3,8192,3,5,5,3.055
343,200.0,1,49,3,1,2,3.012
344,188.0,3,8222,3,5,5,3.055
345,189.0,3,8119,3,5,5,3.055
346,393.0,2,4404,1,4,5,1.045
347,351.0,2,4503,1,4,5,1.045
348,318.0,1,14,1,1,1,1.011
349,303.0,1,68,1,1,2,1.012
350,15.0,1,68,5,1,2,5.012
351,357.0,1,38,1,1,1,1.011
352,153.0,3,8068,3,5,5,3.055
353,272.0,1,14,2,1,1,2.011
354,173.0,3,8078,3,5,5,3.055
355,56.0,1,23,5,1,1,5.011
356,124.0,1,14,4,1,1,4.011
357,89.0,3,5069,4,5,5,4.055
358,91.0,3,4943,4,5,5,4.055
359,75.0,3,5034,4,5,5,4.055
360,55.0,3,4959,5,5,5,5.055
361,37.0,3,5025,5,5,5,5.055
362,65.0,2,115,5,4,3,5.043
363,126.0,2,77,4,4,2,4.042
364,41.0,3,5035,5,5,5,5.055
365,33.0,3,4921,5,5,5,5.055
366,37.0,3,5024,5,5,5,5.055
367,166.0,2,77,3,4,2,3.042
368,64.0,2,86,5,4,2,5.042
369,58.0,3,5105,5,5,5,5.055
370,32.0,2,119,5,4,3,5.043
371,119.0,2,80,4,4,2,4.042
372,31.0,2,75,5,4,2,5.042
373,45.0,3,4965,5,5,5,5.055
374,154.0,1,38,3,1,1,3.011
375,288.0,1,69,1,1,2,1.012
376,103.0,1,14,4,1,1,4.011
377,105.0,1,78,4,1,2,4.012
378,334.0,1,84,1,1,2,1.012
379,348.0,2,4436,1,4,5,1.045
380,336.0,2,4426,1,4,5,1.045
381,359.0,2,5838,1,4,5,1.045
382,163.0,3,8161,3,5,5,3.055
383,346.0,2,4344,1,4,5,1.045
384,27.0,1,49,5,1,2,5.012
385,179.0,1,49,3,1,2,3.012
386,206.0,1,14,2,1,1,2.011
387,87.0,1,69,4,1,2,4.012
388,302.0,3,6959,1,5,5,1.055
389,277.0,3,6987,2,5,5,2.055
390,72.0,1,69,5,1,2,5.012
391,82.0,1,49,4,1,2,4.012
392,94.0,1,34,4,1,1,4.011
393,305.0,1,29,1,1,1,1.011
394,196.0,1,14,3,1,1,3.011
395,179.0,3,8162,3,5,5,3.055
396,342.0,2,5730,1,4,5,1.045
397,94.0,1,29,4,1,1,4.011
398,205.0,1,38,3,1,1,3.011
399,179.0,3,8114,3,5,5,3.055
400,290.0,1,14,1,1,1,1.011
401,193.0,3,6968,3,5,5,3.055
402,326.0,3,5020,1,5,5,1.055
403,301.0,3,5059,1,5,5,1.055
404,245.0,3,5032,2,5,5,2.055
405,352.0,1,34,1,1,1,1.011
406,303.0,1,54,1,1,2,1.012
407,353.0,2,4415,1,4,5,1.045
408,219.0,1,54,2,1,2,2.012
409,329.0,1,34,1,1,1,1.011
410,365.0,2,4444,1,4,5,1.045
411,358.0,2,4464,1,4,5,1.045
412,177.0,1,38,3,1,1,3.011
413,109.0,4,9880,4,5,5,4.055
414,145.0,4,7190,3,5,5,3.055
415,135.0,4,7191,3,5,5,3.055
416,165.0,1,14,3,1,1,3.011
417,268.0,3,4928,2,5,5,2.055
418,44.0,7,11248,5,5,5,5.055
419,42.0,1,40,5,1,1,5.011
420,215.0,2,231,2,4,3,2.043
421,60.0,7,11200,5,5,5,5.055
422,111.0,4,9780,4,5,5,4.055
423,86.0,4,7075,4,5,5,4.055
424,100.0,4,9905,4,5,5,4.055
425,282.0,1,44,2,1,2,2.012
426,38.0,6,10528,5,5,5,5.055
427,294.0,1,35,1,1,1,1.011
428,100.0,4,9918,4,5,5,4.055
429,98.0,4,9954,4,5,5,4.055
430,35.0,6,10468,5,5,5,5.055
431,315.0,1,85,1,1,2,1.012
432,120.0,4,9913,4,5,5,4.055
433,34.0,6,9330,5,5,5,5.055
434,136.0,6,12914,3,5,5,3.055
435,197.0,2,70,3,4,2,3.042
436,24.0,1,35,5,1,1,5.011
437,223.0,2,81,2,4,2,2.042
438,40.0,1,54,5,1,2,5.012
439,357.0,1,35,1,1,1,1.011
440,100.0,6,12488,4,5,5,4.055
441,307.0,1,78,1,1,2,1.012
442,20.0,1,44,5,1,2,5.012
443,121.0,1,35,4,1,1,4.011
444,119.0,3,8235,4,5,5,4.055
445,240.0,3,8136,2,5,5,2.055
446,214.0,3,8098,2,5,5,2.055
447,221.0,3,8237,2,5,5,2.055
448,242.0,3,8078,2,5,5,2.055
449,221.0,3,8132,2,5,5,2.055
450,218.0,3,8130,2,5,5,2.055
451,225.0,3,8173,2,5,5,2.055
452,237.0,3,8250,2,5,5,2.055
453,230.0,3,8183,2,5,5,2.055
454,223.0,3,8177,2,5,5,2.055
455,224.0,3,8089,2,5,5,2.055
456,242.0,3,8142,2,5,5,2.055
457,242.0,3,8224,2,5,5,2.055
458,241.0,3,8211,2,5,5,2.055
459,10.0,3,97,5,5,3,5.053
460,224.0,3,8141,2,5,5,2.055
461,232.0,3,8137,2,5,5,2.055
462,191.0,3,8089,3,5,5,3.055
463,187.0,3,8116,3,5,5,3.055
464,46.0,3,48,5,5,2,5.052
465,211.0,3,8128,2,5,5,2.055
466,199.0,3,8158,3,5,5,3.055
467,160.0,3,90,3,5,2,3.052
468,26.0,3,56,5,5,2,5.052
469,160.0,3,6960,3,5,5,3.055
470,172.0,1,25,3,1,1,3.011
471,341.0,2,4344,1,4,5,1.045
472,256.0,1,54,2,1,2,2.012
473,94.0,3,8165,4,5,5,4.055
474,240.0,1,63,2,1,2,2.012
475,124.0,1,49,4,1,2,4.012
476,280.0,1,69,2,1,2,2.012
477,88.0,1,54,4,1,2,4.012
478,125.0,1,35,4,1,1,4.011
479,284.0,1,54,2,1,2,2.012
480,249.0,3,4970,2,5,5,2.055
481,187.0,3,4935,3,5,5,3.055
482,282.0,3,4978,2,5,5,2.055
483,140.0,3,8143,3,5,5,3.055
484,193.0,3,4966,3,5,5,3.055
485,304.0,3,4985,1,5,5,1.055
486,138.0,3,7049,3,5,5,3.055
487,65.0,1,35,5,1,1,5.011
488,44.0,1,54,5,1,2,5.012
489,151.0,3,8090,3,5,5,3.055
490,122.0,3,8127,4,5,5,4.055
491,299.0,1,54,1,1,2,1.012
492,143.0,3,8158,3,5,5,3.055
493,343.0,2,4404,1,4,5,1.045
494,138.0,3,6959,3,5,5,3.055
495,120.0,3,6974,4,5,5,4.055
496,94.0,1,14,4,1,1,4.011
497,84.0,3,7014,4,5,5,4.055
498,85.0,1,35,4,1,1,4.011
499,19.0,16,560,5,5,3,5.053
500,213.0,2,192,2,4,3,2.043
501,18.0,16,653,5,5,3,5.053
502,6.0,16,871,5,5,3,5.053
503,1.0,16,1025,5,5,3,5.053
504,51.0,2,61,5,4,2,5.042
505,270.0,2,44,2,4,2,2.042
506,35.0,16,845,5,5,3,5.053
507,6.0,16,748,5,5,3,5.053
508,8.0,16,651,5,5,3,5.053
509,259.0,2,77,2,4,2,2.042
510,183.0,1,196,3,1,3,3.013
511,33.0,5,257,5,5,3,5.053
512,321.0,1,35,1,1,1,1.011
513,31.0,1,2320,5,1,4,5.014
514,234.0,1,863,2,1,3,2.013
515,218.0,1,40,2,1,1,2.011
516,283.0,2,5930,2,4,5,2.045
517,226.0,2,5915,2,4,5,2.045
518,158.0,2,101,3,4,3,3.043
519,78.0,2,82,4,4,2,4.042
520,17.0,16,756,5,5,3,5.053
521,9.0,16,822,5,5,3,5.053
522,82.0,2,44,4,4,2,4.042
523,361.0,2,5888,1,4,5,1.045
524,347.0,1,2377,1,1,4,1.014
525,103.0,2,42,4,4,2,4.042
526,340.0,2,5935,1,4,5,1.045
527,359.0,1,2377,1,1,4,1.014
528,88.0,2,39,4,4,1,4.041
529,343.0,2,5959,1,4,5,1.045
530,358.0,2,5944,1,4,5,1.045
531,29.0,16,572,5,5,3,5.053
532,354.0,2,5875,1,4,5,1.045
533,32.0,2,44,5,4,2,5.042
534,18.0,2,37,5,4,1,5.041
535,348.0,2,5919,1,4,5,1.045
536,319.0,2,5919,1,4,5,1.045
537,313.0,2,5915,1,4,5,1.045
538,310.0,2,5873,1,4,5,1.045
539,333.0,2,5895,1,4,5,1.045
540,309.0,2,5997,1,4,5,1.045
541,313.0,2,5958,1,4,5,1.045
542,290.0,2,5973,1,4,5,1.045
543,262.0,1,34,2,1,1,2.011
544,38.0,1,54,5,1,2,5.012
545,153.0,1,89,3,1,2,3.012
546,199.0,1,54,3,1,2,3.012
547,322.0,2,4460,1,4,5,1.045
548,184.0,3,4976,3,5,5,3.055
549,78.0,3,7068,4,5,5,4.055
550,47.0,3,7024,5,5,5,5.055
551,318.0,3,5241,1,5,5,1.055
552,333.0,1,54,1,1,2,1.012
553,22.0,1,35,5,1,1,5.011
554,159.0,1,21,3,1,1,3.011
555,265.0,1,35,2,1,1,2.011
556,265.0,1,35,2,1,1,2.011
557,38.0,1,21,5,1,1,5.011
558,173.0,1,21,3,1,1,3.011
559,59.0,1,21,5,1,1,5.011
560,60.0,1,35,5,1,1,5.011
561,56.0,1,54,5,1,2,5.012
562,323.0,2,4344,1,4,5,1.045
563,216.0,1,85,2,1,2,2.012
564,207.0,1,54,2,1,2,2.012
565,316.0,2,4369,1,4,5,1.045
566,142.0,1,35,3,1,1,3.011
567,21.0,25,1002,5,5,3,5.053
568,319.0,1,54,1,1,2,1.012
569,130.0,3,6789,4,5,5,4.055
570,69.0,1,35,5,1,1,5.011
571,320.0,2,4391,1,4,5,1.045
572,314.0,2,4390,1,4,5,1.045
573,326.0,2,4450,1,4,5,1.045
574,185.0,1,35,3,1,1,3.011
575,319.0,1,35,1,1,1,1.011
576,134.0,3,6806,3,5,5,3.055
577,311.0,2,4486,1,4,5,1.045
578,322.0,2,4344,1,4,5,1.045
579,322.0,2,4406,1,4,5,1.045
580,181.0,1,44,3,1,2,3.012
581,287.0,1,35,2,1,1,2.011
582,67.0,5,237,5,5,3,5.053
583,311.0,2,4379,1,4,5,1.045
584,295.0,2,4381,1,4,5,1.045
585,134.0,1,9,3,1,1,3.011
586,18.0,1,50,5,1,2,5.012
587,92.0,1,9,4,1,1,4.011
588,294.0,2,4540,1,4,5,1.045
589,261.0,2,4369,2,4,5,2.045
590,238.0,1,15,2,1,1,2.011
591,250.0,2,4384,2,4,5,2.045
592,250.0,2,5895,2,4,5,2.045
593,261.0,2,5875,2,4,5,2.045
594,223.0,2,5908,2,4,5,2.045
595,164.0,1,89,3,1,2,3.012
596,29.0,1,35,5,1,1,5.011
597,119.0,1,50,4,1,2,4.012
598,23.0,1,35,5,1,1,5.011
599,310.0,2,4548,1,4,5,1.045
600,230.0,2,5957,2,4,5,2.045
601,267.0,1,35,2,1,1,2.011
602,235.0,2,5932,2,4,5,2.045
603,202.0,1,35,3,1,1,3.011
604,112.0,3,6767,4,5,5,4.055
605,104.0,3,6786,4,5,5,4.055
606,334.0,2,4344,1,4,5,1.045
607,214.0,2,5922,2,4,5,2.045
608,232.0,2,5913,2,4,5,2.045
609,46.0,1,35,5,1,1,5.011
610,66.0,3,6872,5,5,5,5.055
611,88.0,3,6786,4,5,5,4.055
612,213.0,2,5873,2,4,5,2.045
613,71.0,3,6795,5,5,5,5.055
614,279.0,2,4381,2,4,5,2.045
615,298.0,2,4438,1,4,5,1.045
616,290.0,3,5205,1,5,5,1.055
617,288.0,3,5253,1,5,5,1.055
618,296.0,2,5935,1,4,5,1.045
619,353.0,1,2370,1,1,4,1.014
620,57.0,16,633,5,5,3,5.053
621,185.0,2,44,3,4,2,3.042
622,90.0,2,123,4,4,3,4.043
623,227.0,2,133,2,4,3,2.043
624,277.0,2,5948,2,4,5,2.045
625,279.0,2,5898,2,4,5,2.045
626,280.0,2,5913,2,4,5,2.045
627,296.0,2,5959,1,4,5,1.045
628,80.0,2,50,4,4,2,4.042
629,303.0,2,5875,1,4,5,1.045
630,285.0,2,5930,2,4,5,2.045
631,276.0,2,5933,2,4,5,2.045
632,34.0,16,706,5,5,3,5.053
633,25.0,16,1001,5,5,3,5.053
634,14.0,2,77,5,4,2,5.042
635,277.0,2,39,2,4,1,2.041
636,129.0,2,42,4,4,2,4.042
637,10.0,2,77,5,4,2,5.042
638,347.0,2,39,1,4,1,1.041
639,101.0,2,77,4,4,2,4.042
640,20.0,2,127,5,4,3,5.043
641,30.0,5,408,5,5,3,5.053
642,163.0,5,302,3,5,3,3.053
643,4.0,5,481,5,5,3,5.053
644,208.0,2,100,2,4,3,2.043
645,23.0,2,42,5,4,2,5.042
646,25.0,2,153,5,4,3,5.043
647,187.0,2,113,3,4,3,3.043
648,347.0,1,2366,1,1,4,1.014
649,148.0,2,89,3,4,2,3.042
650,280.0,2,91,2,4,2,2.042
651,42.0,2,129,5,4,3,5.043
652,102.0,5,226,4,5,3,4.053
653,41.0,5,310,5,5,3,5.053
654,108.0,2,179,4,4,3,4.043
655,279.0,2,5955,2,4,5,2.045
656,57.0,2,50,5,4,2,5.042
657,16.0,2,77,5,4,2,5.042
658,0.0,2,179,5,4,3,5.043
659,188.0,2,112,3,4,3,3.043
660,22.0,5,234,5,5,3,5.053
661,165.0,5,323,3,5,3,3.053
662,45.0,5,287,5,5,3,5.053
663,206.0,2,100,2,4,3,2.043
664,347.0,2,5948,1,4,5,1.045
665,341.0,2,5948,1,4,5,1.045
666,348.0,2,5930,1,4,5,1.045
667,355.0,2,5948,1,4,5,1.045
668,40.0,2,91,5,4,2,5.042
669,24.0,2,129,5,4,3,5.043
670,162.0,2,113,3,4,3,3.043
671,132.0,2,100,4,4,3,4.043
672,295.0,2,5970,1,4,5,1.045
673,132.0,2,113,4,4,3,4.043
674,331.0,2,192,1,4,3,1.043
675,163.0,2,96,3,4,3,3.043
676,353.0,2,5898,1,4,5,1.045
677,50.0,2,91,5,4,2,5.042
678,59.0,5,297,5,5,3,5.053
