customer_key,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
49,34.0,3,6498,5,5,5,555,Champions
50,91.0,2,81,4,4,2,442,Loyal Customers
51,70.0,3,5007,5,5,5,555,Champions
52,27.0,2,124,5,4,3,543,Loyal Customers
53,246.0,3,8131,2,5,5,255,At Risk
54,376.0,1,2330,1,1,4,114,Lost Customers
55,243.0,3,8223,2,5,5,255,At Risk
56,235.0,3,8168,2,5,5,255,At Risk
57,242.0,3,8207,2,5,5,255,At Risk
58,252.0,3,8088,2,5,5,255,At Risk
59,238.0,3,8248,2,5,5,255,At Risk
60,318.0,3,117,1,5,3,153,At Risk
61,217.0,3,8153,2,5,5,255,At Risk
62,228.0,3,8129,2,5,5,255,At Risk
63,386.0,1,2352,1,1,4,114,Lost Customers
64,381.0,1,2373,1,1,4,114,Lost Customers
65,368.0,1,2305,1,1,4,114,Lost Customers
66,18.0,2,202,5,4,3,543,Loyal Customers
67,131.0,2,81,4,4,2,442,Loyal Customers
68,16.0,2,105,5,4,3,543,Loyal Customers
69,112.0,3,113,4,5,3,453,Loyal Customers
70,238.0,3,8104,2,5,5,255,At Risk
71,216.0,3,8165,2,5,5,255,At Risk
72,58.0,3,110,5,5,3,553,Loyal Customers
73,227.0,3,8194,2,5,5,255,At Risk
74,160.0,3,192,3,5,3,353,Loyal Customers
75,246.0,3,94,2,5,3,253,At Risk
76,218.0,3,8068,2,5,5,255,At Risk
77,221.0,3,8159,2,5,5,255,At Risk
78,230.0,3,8169,2,5,5,255,At Risk
79,0.0,17,912,5,5,3,553,Loyal Customers
80,27.0,3,58,5,5,2,552,Loyal Customers
81,219.0,3,8204,2,5,5,255,At Risk
82,290.0,2,104,1,4,3,143,At Risk
83,83.0,2,3110,4,4,4,444,Champions
84,81.0,2,3137,4,4,4,444,Champions
85,68.0,2,3078,5,4,4,544,Champions
86,20.0,2,129,5,4,3,543,Loyal Customers
87,38.0,2,153,5,4,3,543,Loyal Customers
88,172.0,2,200,3,4,3,343,Loyal Customers
89,77.0,2,3176,4,4,4,444,Champions
90,71.0,2,3188,5,4,4,544,Champions
91,68.0,3,6703,5,5,5,555,Champions
92,20.0,28,1186,5,5,4,554,Champions
93,221.0,3,8110,2,5,5,255,At Risk
94,234.0,3,8180,2,5,5,255,At Risk
95,17.0,3,236,5,5,3,553,Loyal Customers
96,217.0,3,8158,2,5,5,255,At Risk
97,182.0,3,8063,3,5,5,355,Loyal Customers
98,188.0,3,8099,3,5,5,355,Loyal Customers
99,104.0,3,89,4,5,2,452,Loyal Customers
100,211.0,3,8216,2,5,5,255,At Risk
101,174.0,3,8172,3,5,5,355,Loyal Customers
102,213.0,3,8262,2,5,5,255,At Risk
103,50.0,3,103,5,5,3,553,Loyal Customers
104,236.0,3,8182,2,5,5,255,At Risk
105,227.0,3,8173,2,5,5,255,At Risk
106,237.0,3,8096,2,5,5,255,At Risk
107,227.0,3,8079,2,5,5,255,At Risk
108,221.0,3,8171,2,5,5,255,At Risk
109,219.0,3,8124,2,5,5,255,At Risk
110,218.0,3,8245,2,5,5,255,At Risk
111,161.0,3,8093,3,5,5,355,Loyal Customers
112,159.0,3,8137,3,5,5,355,Loyal Customers
113,148.0,3,8295,3,5,5,355,Loyal Customers
114,282.0,3,110,2,5,3,253,At Risk
115,33.0,3,123,5,5,3,553,Loyal Customers
116,26.0,3,114,5,5,3,553,Loyal Customers
117,104.0,3,149,4,5,3,453,Loyal Customers
118,217.0,3,8185,2,5,5,255,At Risk
119,2.0,3,124,5,5,3,553,Loyal Customers
120,66.0,2,85,5,4,2,542,Loyal Customers
121,131.0,3,8242,4,5,5,455,Champions
122,85.0,3,58,4,5,2,452,Loyal Customers
123,159.0,3,43,3,5,2,352,Loyal Customers
124,3.0,3,150,5,5,3,553,Loyal Customers
125,224.0,3,8129,2,5,5,255,At Risk
126,209.0,3,79,2,5,2,252,At Risk
127,86.0,3,4971,4,5,5,455,Champions
128,119.0,2,44,4,4,2,442,Loyal Customers
129,169.0,2,144,3,4,3,343,Loyal Customers
130,384.0,2,5873,1,4,5,145,At Risk
131,50.0,1,37,5,1,1,511,Potential Loyalists
132,5.0,5,166,5,5,3,553,Loyal Customers
133,294.0,1,2372,1,1,4,114,Lost Customers
134,29.0,1,72,5,1,2,512,Potential Loyalists
135,86.0,3,4911,4,5,5,455,Champions
136,285.0,1,2335,2,1,4,214,Lost Customers
137,390.0,1,2381,1,1,4,114,Lost Customers
138,8.0,2,202,5,4,3,543,Loyal Customers
139,28.0,2,79,5,4,2,542,Loyal Customers
140,103.0,2,84,4,4,2,442,Loyal Customers
141,315.0,1,40,1,1,1,111,Lost Customers
142,122.0,2,114,4,4,3,443,Loyal Customers
143,15.0,17,979,5,5,3,553,Loyal Customers
144,40.0,2,48,5,4,2,542,Loyal Customers
145,368.0,1,2400,1,1,4,114,Lost Customers
146,368.0,1,2310,1,1,4,114,Lost Customers
147,135.0,3,113,3,5,3,353,Loyal Customers
148,104.0,3,8195,4,5,5,455,Champions
149,56.0,3,126,5,5,3,553,Loyal Customers
150,60.0,3,41,5,5,2,552,Loyal Customers
151,197.0,3,192,3,5,3,353,Loyal Customers
152,100.0,3,8087,4,5,5,455,Champions
153,384.0,1,2295,1,1,4,114,Lost Customers
154,305.0,2,110,1,4,3,143,At Risk
155,383.0,1,2320,1,1,4,114,Lost Customers
156,387.0,1,2320,1,1,4,114,Lost Customers
157,385.0,1,2390,1,1,4,114,Lost Customers
158,139.0,2,41,3,4,2,342,Loyal Customers
159,374.0,1,2396,1,1,4,114,Lost Customers
160,82.0,2,48,4,4,2,442,Loyal Customers
161,341.0,1,2322,1,1,4,114,Lost Customers
162,78.0,2,94,4,4,3,443,Loyal Customers
163,344.0,1,2330,1,1,4,114,Lost Customers
164,176.0,2,46,3,4,2,342,Loyal Customers
165,176.0,2,145,3,4,3,343,Loyal Customers
166,237.0,2,103,2,4,3,243,At Risk
167,53.0,2,88,5,4,2,542,Loyal Customers
168,61.0,2,3126,5,4,4,544,Champions
169,73.0,2,3136,4,4,4,444,Champions
170,126.0,2,81,4,4,2,442,Loyal Customers
171,30.0,2,157,5,4,3,543,Loyal Customers
172,82.0,3,6716,4,5,5,455,Champions
173,17.0,2,129,5,4,3,543,Loyal Customers
174,35.0,2,103,5,4,3,543,Loyal Customers
175,187.0,2,48,3,4,2,342,Loyal Customers
176,86.0,3,6710,4,5,5,455,Champions
177,1.0,28,1317,5,5,4,554,Champions
178,106.0,2,135,4,4,3,443,Loyal Customers
179,247.0,2,145,2,4,3,243,At Risk
180,19.0,2,125,5,4,3,543,Loyal Customers
181,125.0,2,138,4,4,3,443,Loyal Customers
182,201.0,2,41,3,4,2,342,Loyal Customers
183,23.0,2,81,5,4,2,542,Loyal Customers
184,229.0,2,46,2,4,2,242,At Risk
185,111.0,2,68,4,4,2,442,Loyal Customers
186,2.0,27,1616,5,5,4,554,Champions
187,21.0,2,41,5,4,2,542,Loyal Customers
188,175.0,2,108,3,4,3,343,Loyal Customers
189,7.0,2,81,5,4,2,542,Loyal Customers
190,357.0,2,5944,1,4,5,145,At Risk
191,12.0,2,46,5,4,2,542,Loyal Customers
192,83.0,3,6743,4,5,5,455,Champions
193,125.0,2,114,4,4,3,443,Loyal Customers
194,163.0,2,41,3,4,2,342,Loyal Customers
195,51.0,2,105,5,4,3,543,Loyal Customers
196,98.0,2,105,4,4,3,443,Loyal Customers
197,126.0,2,162,4,4,3,443,Loyal Customers
198,192.0,2,207,3,4,3,343,Loyal Customers
199,349.0,2,98,1,4,3,143,At Risk
200,103.0,2,132,4,4,3,443,Loyal Customers
201,8.0,27,1461,5,5,4,554,Champions
202,141.0,2,181,3,4,3,343,Loyal Customers
203,129.0,2,74,4,4,2,442,Loyal Customers
204,48.0,17,800,5,5,3,553,Loyal Customers
205,79.0,2,77,4,4,2,442,Loyal Customers
206,112.0,2,37,4,4,1,441,Loyal Customers
207,243.0,2,77,2,4,2,242,At Risk
208,102.0,2,77,4,4,2,442,Loyal Customers
209,133.0,2,134,3,4,3,343,Loyal Customers
210,6.0,2,37,5,4,1,541,Loyal Customers
211,144.0,2,70,3,4,2,342,Loyal Customers
212,21.0,17,792,5,5,3,553,Loyal Customers
213,11.0,17,824,5,5,3,553,Loyal Customers
214,141.0,2,77,3,4,2,342,Loyal Customers
215,70.0,2,162,5,4,3,543,Loyal Customers
216,44.0,17,1154,5,5,3,553,Loyal Customers
217,357.0,2,5948,1,4,5,145,At Risk
218,348.0,2,5953,1,4,5,145,At Risk
219,24.0,2,39,5,4,1,541,Loyal Customers
220,4.0,2,39,5,4,1,541,Loyal Customers
221,46.0,2,50,5,4,2,542,Loyal Customers
222,103.0,2,46,4,4,2,442,Loyal Customers
223,61.0,2,208,5,4,3,543,Loyal Customers
224,22.0,27,1293,5,5,4,554,Champions
225,56.0,3,6685,5,5,5,555,Champions
226,144.0,2,73,3,4,2,342,Loyal Customers
227,303.0,2,37,1,4,1,141,At Risk
228,352.0,2,5910,1,4,5,145,At Risk
229,11.0,2,77,5,4,2,542,Loyal Customers
230,3.0,2,81,5,4,2,542,Loyal Customers
231,50.0,2,54,5,4,2,542,Loyal Customers
232,77.0,2,64,4,4,2,442,Loyal Customers
233,76.0,2,39,4,4,1,441,Loyal Customers
234,234.0,2,179,2,4,3,243,At Risk
235,131.0,2,76,4,4,2,442,Loyal Customers
236,23.0,2,138,5,4,3,543,Loyal Customers
237,22.0,2,114,5,4,3,543,Loyal Customers
238,64.0,4,10566,5,5,5,555,Champions
239,273.0,4,7543,2,5,5,255,At Risk
240,245.0,4,7511,2,5,5,255,At Risk
241,260.0,4,7586,2,5,5,255,At Risk
242,91.0,7,11468,4,5,5,455,Champions
243,55.0,7,11067,5,5,5,555,Champions
244,233.0,4,7164,2,5,5,255,At Risk
245,193.0,4,7175,3,5,5,355,Loyal Customers
246,48.0,4,10580,5,5,5,555,Champions
247,39.0,4,10575,5,5,5,555,Champions
248,164.0,4,7131,3,5,5,355,Loyal Customers
249,198.0,1,38,3,1,1,311,Need Attention
250,135.0,4,9890,3,5,5,355,Loyal Customers
251,175.0,4,7115,3,5,5,355,Loyal Customers
252,102.0,1,2319,4,1,4,414,Potential Loyalists
253,41.0,3,6685,5,5,5,555,Champions
254,56.0,16,695,5,5,3,553,Loyal Customers
255,45.0,2,204,5,4,3,543,Loyal Customers
256,303.0,2,114,1,4,3,143,At Risk
257,104.0,2,81,4,4,2,442,Loyal Customers
258,45.0,3,6676,5,5,5,555,Champions
259,197.0,2,49,3,4,2,342,Loyal Customers
260,39.0,3,6770,5,5,5,555,Champions
261,219.0,2,81,2,4,2,242,At Risk
262,36.0,3,6650,5,5,5,555,Champions
263,6.0,27,1124,5,5,3,553,Loyal Customers
264,49.0,3,6753,5,5,5,555,Champions
265,59.0,2,3182,5,4,4,544,Champions
266,390.0,1,2352,1,1,4,114,Lost Customers
267,373.0,2,5922,1,4,5,145,At Risk
268,386.0,2,5943,1,4,5,145,At Risk
269,73.0,2,98,4,4,3,443,Loyal Customers
270,140.0,2,42,3,4,2,342,Loyal Customers
271,386.0,2,5984,1,4,5,145,At Risk
272,371.0,2,5973,1,4,5,145,At Risk
273,380.0,2,5975,1,4,5,145,At Risk
274,250.0,2,273,2,4,3,243,At Risk
275,338.0,2,5888,1,4,5,145,At Risk
276,381.0,2,5955,1,4,5,145,At Risk
277,6.0,27,987,5,5,3,553,Loyal Customers
278,12.0,27,1434,5,5,4,554,Champions
279,390.0,2,5908,1,4,5,145,At Risk
280,220.0,2,44,2,4,2,242,At Risk
281,173.0,2,77,3,4,2,342,Loyal Customers
282,382.0,2,5921,1,4,5,145,At Risk
283,391.0,2,5999,1,4,5,145,At Risk
284,153.0,2,44,3,4,2,342,Loyal Customers
285,271.0,2,55,2,4,2,242,At Risk
286,94.0,2,128,4,4,3,443,Loyal Customers
287,373.0,2,5954,1,4,5,145,At Risk
288,0.0,27,1165,5,5,4,554,Champions
289,160.0,2,77,3,4,2,342,Loyal Customers
290,377.0,2,5905,1,4,5,145,At Risk
291,366.0,2,5933,1,4,5,145,At Risk
292,374.0,2,5873,1,4,5,145,At Risk
293,393.0,2,5910,1,4,5,145,At Risk
294,319.0,2,85,1,4,2,142,At Risk
295,25.0,2,42,5,4,2,542,Loyal Customers
296,384.0,2,6058,1,4,5,145,At Risk
297,364.0,2,5897,1,4,5,145,At Risk
298,342.0,2,5948,1,4,5,145,At Risk
299,341.0,2,5922,1,4,5,145,At Risk
300,338.0,2,6015,1,4,5,145,At Risk
301,28.0,27,1499,5,5,4,554,Champions
302,109.0,2,131,4,4,3,443,Loyal Customers
303,360.0,2,5938,1,4,5,145,At Risk
304,339.0,2,5875,1,4,5,145,At Risk
305,281.0,2,122,2,4,3,243,At Risk
306,177.0,2,77,3,4,2,342,Loyal Customers
307,143.0,2,42,3,4,2,342,Loyal Customers
308,354.0,2,5964,1,4,5,145,At Risk
309,13.0,2,94,5,4,3,543,Loyal Customers
310,23.0,2,42,5,4,2,542,Loyal Customers
311,35.0,2,77,5,4,2,542,Loyal Customers
312,137.0,2,77,3,4,2,342,Loyal Customers
313,240.0,2,42,2,4,2,242,At Risk
314,63.0,2,44,5,4,2,542,Loyal Customers
315,56.0,2,47,5,4,2,542,Loyal Customers
316,42.0,2,42,5,4,2,542,Loyal Customers
317,381.0,1,2350,1,1,4,114,Lost Customers
318,344.0,2,5873,1,4,5,145,At Risk
319,81.0,2,44,4,4,2,442,Loyal Customers
320,338.0,2,5930,1,4,5,145,At Risk
321,162.0,2,72,3,4,2,342,Loyal Customers
322,245.0,2,37,2,4,1,241,At Risk
323,252.0,2,44,2,4,2,242,At Risk
324,363.0,2,6074,1,4,5,145,At Risk
325,357.0,2,5945,1,4,5,145,At Risk
326,362.0,2,6044,1,4,5,145,At Risk
327,342.0,2,5948,1,4,5,145,At Risk
328,361.0,2,5915,1,4,5,145,At Risk
329,296.0,2,4718,1,4,5,145,At Risk
330,352.0,2,5898,1,4,5,145,At Risk
331,6.0,27,1134,5,5,3,553,Loyal Customers
332,4.0,27,1327,5,5,4,554,Champions
333,387.0,2,5755,1,4,5,145,At Risk
334,198.0,3,8163,3,5,5,355,Loyal Customers
335,185.0,3,8154,3,5,5,355,Loyal Customers
336,389.0,2,5744,1,4,5,145,At Risk
337,388.0,2,4441,1,4,5,145,At Risk
338,193.0,3,8162,3,5,5,355,Loyal Customers
339,394.0,2,5745,1,4,5,145,At Risk
340,368.0,2,4379,1,4,5,145,At Risk
341,391.0,2,4413,1,4,5,145,At Risk
342,193.0,3,8192,3,5,5,355,Loyal Customers
343,200.0,1,49,3,1,2,312,Need Attention
344,188.0,3,8222,3,5,5,355,Loyal Customers
345,189.0,3,8119,3,5,5,355,Loyal Customers
346,393.0,2,4404,1,4,5,145,At Risk
347,351.0,2,4503,1,4,5,145,At Risk
348,318.0,1,14,1,1,1,111,Lost Customers
349,303.0,1,68,1,1,2,112,Lost Customers
350,15.0,1,68,5,1,2,512,Potential Loyalists
351,357.0,1,38,1,1,1,111,Lost Customers
352,153.0,3,8068,3,5,5,355,Loyal Customers
353,272.0,1,14,2,1,1,211,Lost Customers
354,173.0,3,8078,3,5,5,355,Loyal Customers
355,56.0,1,23,5,1,1,511,Potential Loyalists
356,124.0,1,14,4,1,1,411,Potential Loyalists
357,89.0,3,5069,4,5,5,455,Champions
358,91.0,3,4943,4,5,5,455,Champions
359,75.0,3,5034,4,5,5,455,Champions
360,55.0,3,4959,5,5,5,555,Champions
361,37.0,3,5025,5,5,5,555,Champions
362,65.0,2,115,5,4,3,543,Loyal Customers
363,126.0,2,77,4,4,2,442,Loyal Customers
364,41.0,3,5035,5,5,5,555,Champions
365,33.0,3,4921,5,5,5,555,Champions
366,37.0,3,5024,5,5,5,555,Champions
367,166.0,2,77,3,4,2,342,Loyal Customers
368,64.0,2,86,5,4,2,542,Loyal Customers
369,58.0,3,5105,5,5,5,555,Champions
370,32.0,2,119,5,4,3,543,Loyal Customers
371,119.0,2,80,4,4,2,442,Loyal Customers
372,31.0,2,75,5,4,2,542,Loyal Customers
373,45.0,3,4965,5,5,5,555,Champions
374,154.0,1,38,3,1,1,311,Need Attention
375,288.0,1,69,1,1,2,112,Lost Customers
376,103.0,1,14,4,1,1,411,Potential Loyalists
377,105.0,1,78,4,1,2,412,Potential Loyalists
378,334.0,1,84,1,1,2,112,Lost Customers
379,348.0,2,4436,1,4,5,145,At Risk
380,336.0,2,4426,1,4,5,145,At Risk
381,359.0,2,5838,1,4,5,145,At Risk
382,163.0,3,8161,3,5,5,355,Loyal Customers
383,346.0,2,4344,1,4,5,145,At Risk
384,27.0,1,49,5,1,2,512,Potential Loyalists
385,179.0,1,49,3,1,2,312,Need Attention
386,206.0,1,14,2,1,1,211,Lost Customers
387,87.0,1,69,4,1,2,412,Potential Loyalists
388,302.0,3,6959,1,5,5,155,At Risk
389,277.0,3,6987,2,5,5,255,At Risk
390,72.0,1,69,5,1,2,512,Potential Loyalists
391,82.0,1,49,4,1,2,412,Potential Loyalists
392,94.0,1,34,4,1,1,411,Potential Loyalists
393,305.0,1,29,1,1,1,111,Lost Customers
394,196.0,1,14,3,1,1,311,Need Attention
395,179.0,3,8162,3,5,5,355,Loyal Customers
396,342.0,2,5730,1,4,5,145,At Risk
397,94.0,1,29,4,1,1,411,Potential Loyalists
398,205.0,1,38,3,1,1,311,Need Attention
399,179.0,3,8114,3,5,5,355,Loyal Customers
400,290.0,1,14,1,1,1,111,Lost Customers
401,193.0,3,6968,3,5,5,355,Loyal Customers
402,326.0,3,5020,1,5,5,155,At Risk
403,301.0,3,5059,1,5,5,155,At Risk
404,245.0,3,5032,2,5,5,255,At Risk
405,352.0,1,34,1,1,1,111,Lost Customers
406,303.0,1,54,1,1,2,112,Lost Customers
407,353.0,2,4415,1,4,5,145,At Risk
408,219.0,1,54,2,1,2,212,Lost Customers
409,329.0,1,34,1,1,1,111,Lost Customers
410,365.0,2,4444,1,4,5,145,At Risk
411,358.0,2,4464,1,4,5,145,At Risk
412,177.0,1,38,3,1,1,311,Need Attention
413,109.0,4,9880,4,5,5,455,Champions
414,145.0,4,7190,3,5,5,355,Loyal Customers
415,135.0,4,7191,3,5,5,355,Loyal Customers
416,165.0,1,14,3,1,1,311,Need Attention
417,268.0,3,4928,2,5,5,255,At Risk
418,44.0,7,11248,5,5,5,555,Champions
419,42.0,1,40,5,1,1,511,Potential Loyalists
420,215.0,2,231,2,4,3,243,At Risk
421,60.0,7,11200,5,5,5,555,Champions
422,111.0,4,9780,4,5,5,455,Champions
423,86.0,4,7075,4,5,5,455,Champions
424,100.0,4,9905,4,5,5,455,Champions
425,282.0,1,44,2,1,2,212,Lost Customers
426,38.0,6,10528,5,5,5,555,Champions
427,294.0,1,35,1,1,1,111,Lost Customers
428,100.0,4,9918,4,5,5,455,Champions
429,98.0,4,9954,4,5,5,455,Champions
430,35.0,6,10468,5,5,5,555,Champions
431,315.0,1,85,1,1,2,112,Lost Customers
432,120.0,4,9913,4,5,5,455,Champions
433,34.0,6,9330,5,5,5,555,Champions
434,136.0,6,12914,3,5,5,355,Loyal Customers
435,197.0,2,70,3,4,2,342,Loyal Customers
436,24.0,1,35,5,1,1,511,Potential Loyalists
437,223.0,2,81,2,4,2,242,At Risk
438,40.0,1,54,5,1,2,512,Potential Loyalists
439,357.0,1,35,1,1,1,111,Lost Customers
440,100.0,6,12488,4,5,5,455,Champions
441,307.0,1,78,1,1,2,112,Lost Customers
442,20.0,1,44,5,1,2,512,Potential Loyalists
443,121.0,1,35,4,1,1,411,Potential Loyalists
444,119.0,3,8235,4,5,5,455,Champions
445,240.0,3,8136,2,5,5,255,At Risk
446,214.0,3,8098,2,5,5,255,At Risk
447,221.0,3,8237,2,5,5,255,At Risk
448,242.0,3,8078,2,5,5,255,At Risk
449,221.0,3,8132,2,5,5,255,At Risk
450,218.0,3,8130,2,5,5,255,At Risk
451,225.0,3,8173,2,5,5,255,At Risk
452,237.0,3,8250,2,5,5,255,At Risk
453,230.0,3,8183,2,5,5,255,At Risk
454,223.0,3,8177,2,5,5,255,At Risk
455,224.0,3,8089,2,5,5,255,At Risk
456,242.0,3,8142,2,5,5,255,At Risk
457,242.0,3,8224,2,5,5,255,At Risk
458,241.0,3,8211,2,5,5,255,At Risk
459,10.0,3,97,5,5,3,553,Loyal Customers
460,224.0,3,8141,2,5,5,255,At Risk
461,232.0,3,8137,2,5,5,255,At Risk
462,191.0,3,8089,3,5,5,355,Loyal Customers
463,187.0,3,8116,3,5,5,355,Loyal Customers
464,46.0,3,48,5,5,2,552,Loyal Customers
465,211.0,3,8128,2,5,5,255,At Risk
466,199.0,3,8158,3,5,5,355,Loyal Customers
467,160.0,3,90,3,5,2,352,Loyal Customers
468,26.0,3,56,5,5,2,552,Loyal Customers
469,160.0,3,6960,3,5,5,355,Loyal Customers
470,172.0,1,25,3,1,1,311,Need Attention
471,341.0,2,4344,1,4,5,145,At Risk
472,256.0,1,54,2,1,2,212,Lost Customers
473,94.0,3,8165,4,5,5,455,Champions
474,240.0,1,63,2,1,2,212,Lost Customers
475,124.0,1,49,4,1,2,412,Potential Loyalists
476,280.0,1,69,2,1,2,212,Lost Customers
477,88.0,1,54,4,1,2,412,Potential Loyalists
478,125.0,1,35,4,1,1,411,Potential Loyalists
479,284.0,1,54,2,1,2,212,Lost Customers
480,249.0,3,4970,2,5,5,255,At Risk
481,187.0,3,4935,3,5,5,355,Loyal Customers
482,282.0,3,4978,2,5,5,255,At Risk
483,140.0,3,8143,3,5,5,355,Loyal Customers
484,193.0,3,4966,3,5,5,355,Loyal Customers
485,304.0,3,4985,1,5,5,155,At Risk
486,138.0,3,7049,3,5,5,355,Loyal Customers
487,65.0,1,35,5,1,1,511,Potential Loyalists
488,44.0,1,54,5,1,2,512,Potential Loyalists
489,151.0,3,8090,3,5,5,355,Loyal Customers
490,122.0,3,8127,4,5,5,455,Champions
491,299.0,1,54,1,1,2,112,Lost Customers
492,143.0,3,8158,3,5,5,355,Loyal Customers
493,343.0,2,4404,1,4,5,145,At Risk
494,138.0,3,6959,3,5,5,355,Loyal Customers
495,120.0,3,6974,4,5,5,455,Champions
496,94.0,1,14,4,1,1,411,Potential Loyalists
497,84.0,3,7014,4,5,5,455,Champions
498,85.0,1,35,4,1,1,411,Potential Loyalists
499,19.0,16,560,5,5,3,553,Loyal Customers
500,213.0,2,192,2,4,3,243,At Risk
501,18.0,16,653,5,5,3,553,Loyal Customers
502,6.0,16,871,5,5,3,553,Loyal Customers
503,1.0,16,1025,5,5,3,553,Loyal Customers
504,51.0,2,61,5,4,2,542,Loyal Customers
505,270.0,2,44,2,4,2,242,At Risk
506,35.0,16,845,5,5,3,553,Loyal Customers
507,6.0,16,748,5,5,3,553,Loyal Customers
508,8.0,16,651,5,5,3,553,Loyal Customers
509,259.0,2,77,2,4,2,242,At Risk
510,183.0,1,196,3,1,3,313,Need Attention
511,33.0,5,257,5,5,3,553,Loyal Customers
512,321.0,1,35,1,1,1,111,Lost Customers
513,31.0,1,2320,5,1,4,514,Potential Loyalists
514,234.0,1,863,2,1,3,213,Lost Customers
515,218.0,1,40,2,1,1,211,Lost Customers
516,283.0,2,5930,2,4,5,245,At Risk
517,226.0,2,5915,2,4,5,245,At Risk
518,158.0,2,101,3,4,3,343,Loyal Customers
519,78.0,2,82,4,4,2,442,Loyal Customers
520,17.0,16,756,5,5,3,553,Loyal Customers
521,9.0,16,822,5,5,3,553,Loyal Customers
522,82.0,2,44,4,4,2,442,Loyal Customers
523,361.0,2,5888,1,4,5,145,At Risk
524,347.0,1,2377,1,1,4,114,Lost Customers
525,103.0,2,42,4,4,2,442,Loyal Customers
526,340.0,2,5935,1,4,5,145,At Risk
527,359.0,1,2377,1,1,4,114,Lost Customers
528,88.0,2,39,4,4,1,441,Loyal Customers
529,343.0,2,5959,1,4,5,145,At Risk
530,358.0,2,5944,1,4,5,145,At Risk
531,29.0,16,572,5,5,3,553,Loyal Customers
532,354.0,2,5875,1,4,5,145,At Risk
533,32.0,2,44,5,4,2,542,Loyal Customers
534,18.0,2,37,5,4,1,541,Loyal Customers
535,348.0,2,5919,1,4,5,145,At Risk
536,319.0,2,5919,1,4,5,145,At Risk
537,313.0,2,5915,1,4,5,145,At Risk
538,310.0,2,5873,1,4,5,145,At Risk
539,333.0,2,5895,1,4,5,145,At Risk
540,309.0,2,5997,1,4,5,145,At Risk
541,313.0,2,5958,1,4,5,145,At Risk
542,290.0,2,5973,1,4,5,145,At Risk
543,262.0,1,34,2,1,1,211,Lost Customers
544,38.0,1,54,5,1,2,512,Potential Loyalists
545,153.0,1,89,3,1,2,312,Need Attention
546,199.0,1,54,3,1,2,312,Need Attention
547,322.0,2,4460,1,4,5,145,At Risk
548,184.0,3,4976,3,5,5,355,Loyal Customers
549,78.0,3,7068,4,5,5,455,Champions
550,47.0,3,7024,5,5,5,555,Champions
551,318.0,3,5241,1,5,5,155,At Risk
552,333.0,1,54,1,1,2,112,Lost Customers
553,22.0,1,35,5,1,1,511,Potential Loyalists
554,159.0,1,21,3,1,1,311,Need Attention
555,265.0,1,35,2,1,1,211,Lost Customers
556,265.0,1,35,2,1,1,211,Lost Customers
557,38.0,1,21,5,1,1,511,Potential Loyalists
558,173.0,1,21,3,1,1,311,Need Attention
